"","month","num_wkdayholminor","num_satholmajor","num_sun","weekdays","saturdays","sundays","dum_911_base","supersandy","summer_of_hell","end_close","mon","dummy_1","dummy_2","dummy_3","dummy_4","dummy_5","dummy_6","dummy_7","dummy_8","dummy_9","dummy_10","dummy_11","dummy_12","week","sat","sun","sat_alt","sun_alt","avg_wkdayholminor_tstile","avg_satholmajor_tstile","avg_sun_tstile","real_fare","man_hud_KEEP","man_hud_opt","man_hud_pess","population_hud_opt","population_hud_pess","real_fare_q1_KEEP","pop_hudson_KEEP"
"1",2000-01-01,20,6,5,20,6,5,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,232710,85325.66667,60462,1.503485778,2472.42074,2472.402238,2472.42074,607.7674125,607.7674125,1.560475441,607.7674246
"2",2000-02-01,21,6,4,21,6,4,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,258328,93508,64854,1.457950243,2521.120539,2521.103776,2521.120539,613.9991116,613.9991116,1.517173013,613.999111
"3",2000-03-01,21,6,4,21,6,4,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,181507,77547,54022,77547,54022,181507,75046.66667,54022,2.145159151,2376.919774,2376.902035,2376.919774,616.620514,616.620514,2.22383369,616.620524
"4",2000-04-01,21,6,4,21,6,4,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,160048,71488,51824,71488,51824,160170,71655.33333,51824,2.076848998,2337.961239,2337.950868,2337.961239,615.7622906,615.7622906,2.152942228,615.7622885
"5",2000-05-01,20,7,4,20,7,4,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,177570,74050,49634,74050,49634,177525.4,75804,49634,2.022823912,2315.847427,2315.833528,2315.847427,615.2786724,615.2786724,2.09321823,615.2786374
"6",2000-06-01,20,6,5,20,6,5,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,186923.55,70081.6,52942.67,70081.6,52942.67,191490.35,74210.5,53086.6,1.94311629,2342.908451,2342.900002,2342.908451,615.1225468,615.1225468,2.008065168,615.1225524
"7",2000-07-01,20,6,5,20,6,5,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,212332.3,82453,60693,82453,60693,212746,83670.33333,60693,1.872915702,2393.398149,2393.385797,2393.398149,614.6615844,614.6615844,1.941218096,614.6615733
"8",2000-08-01,21,6,4,21,6,4,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,229700,95844,68643,95844,68643,229699,94339.33333,68644,1.823366416,2446.780498,2446.771998,2446.780498,614.1807816,614.1807816,1.885019337,614.1808052
"9",2000-09-01,21,6,4,21,6,4,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,241865.05,99235,70768,99235,70768,241848,97627.66667,70768,1.759099748,2491.37943,2491.365688,2491.37943,617.1876556,617.1876556,1.81781872,617.1876905
"10",2000-10-01,20,7,4,20,7,4,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,237640.85,93801.8,68950.67,93801.8,68950.67,237641,94161.42857,68951,2.021217685,2420.37386,2420.361232,2420.37386,624.6095971,624.6095971,2.093260609,624.6095862
"11",2000-11-01,19,7,5,21,5,5,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,236940.0526,99284.14286,67567.4,97228,78098,236940.0526,99284.14286,67567.4,1.974123321,2369.549853,2369.545906,2369.549853,632.7342752,632.7342752,2.050737004,632.7342614
"12",2000-12-01,20,6,5,21,5,5,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,233686.95,103291,76760.2,101353,82797,233686.95,103291,76760.2,1.944272149,2420.464144,2420.470292,2420.464144,641.1028024,641.1028024,2.011340538,641.1027574
"13",2001-01-01,20,6,5,22,4,5,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,252769.35,106987.6667,86184,107208,92002,252769.35,106987.6667,86184,2.162464604,2484.667222,2484.682129,2484.667222,649.4988819,649.4988819,2.24412772,649.498875
"14",2001-02-01,21,6,4,23,4,4,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,217107.381,84610.16667,61876.5,NA,NA,217107.381,84610.16667,61876.5,2.380404581,2525.511511,2525.506551,2525.511511,655.3164949,655.3164949,2.472654452,655.3164998
"15",2001-03-01,21,6,4,23,4,4,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,231390.2857,95553.83333,72751.75,NA,NA,231390.2857,95553.83333,72751.75,2.59610125,2594.487985,2594.349401,2594.487985,659.3698732,659.3698732,2.709339904,659.3698353
"16",2001-04-01,20,7,4,22,5,4,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,227562.75,93332.85714,65719,88874,78640,227562.75,93332.85714,65719,2.869195475,2667.90955,2667.594102,2667.90955,663.1636279,663.1636279,2.985934139,663.1636174
"17",2001-05-01,19,7,5,21,5,5,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,250484.3684,93650.42857,67581.4,87875,79155,250484.3684,93650.42857,67581.4,2.847528443,2728.107779,2727.492886,2728.107779,667.3207036,667.3207036,2.965383075,667.3207136
"18",2001-06-01,20,6,5,22,4,5,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,266693.25,98820.16667,78604.8,97010,85415,266693.25,98820.16667,78604.8,2.777384917,2788.759168,2787.908065,2788.759168,671.4201152,671.4201152,2.893868759,671.4201322
"19",2001-07-01,21,6,4,23,4,4,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,266394.1905,98564.66667,70543,100394,78664,266394.1905,98564.66667,70543,2.75,2829.179589,2828.274357,2829.179589,674.8911731,674.8911731,2.848111691,674.8912681
"20",2001-08-01,21,6,4,23,4,4,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,272332.1429,85226.66667,62358.75,NA,NA,272332.1429,85226.66667,62358.75,2.75,2875.509994,2890.08903,2875.509994,678.5621026,678.5621026,2.806146185,678.5241714
