date,num_wkdayholminor,num_satholmajor,num_sun
1/1/1988,,,
2/1/1988,,,
3/1/1988,,,
4/1/1988,,,
5/1/1988,,,
6/1/1988,,,
7/1/1988,,,
8/1/1988,,,
9/1/1988,,,
10/1/1988,,,
11/1/1988,,,
12/1/1988,,,
1/1/1989,,,
2/1/1989,,,
3/1/1989,,,
4/1/1989,,,
5/1/1989,,,
6/1/1989,,,
7/1/1989,,,
8/1/1989,,,
9/1/1989,,,
10/1/1989,,,
11/1/1989,,,
12/1/1989,,,
1/1/1990,,,
2/1/1990,,,
3/1/1990,,,
4/1/1990,,,
5/1/1990,,,
6/1/1990,,,
7/1/1990,,,
8/1/1990,,,
9/1/1990,,,
10/1/1990,,,
11/1/1990,,,
12/1/1990,,,
1/1/1991,,,
2/1/1991,,,
3/1/1991,,,
4/1/1991,,,
5/1/1991,,,
6/1/1991,,,
7/1/1991,,,
8/1/1991,,,
9/1/1991,,,
10/1/1991,,,
11/1/1991,,,
12/1/1991,,,
1/1/1992,,,
2/1/1992,,,
3/1/1992,,,
4/1/1992,,,
5/1/1992,,,
6/1/1992,,,
7/1/1992,,,
8/1/1992,,,
9/1/1992,,,
10/1/1992,,,
11/1/1992,,,
12/1/1992,,,
1/1/1993,,,
2/1/1993,,,
3/1/1993,,,
4/1/1993,,,
5/1/1993,,,
6/1/1993,,,
7/1/1993,,,
8/1/1993,,,
9/1/1993,,,
10/1/1993,,,
11/1/1993,,,
12/1/1993,,,
1/1/1994,,,
2/1/1994,,,
3/1/1994,,,
4/1/1994,,,
5/1/1994,,,
6/1/1994,,,
7/1/1994,,,
8/1/1994,,,
9/1/1994,,,
10/1/1994,,,
11/1/1994,,,
12/1/1994,,,
1/1/1995,,,
2/1/1995,,,
3/1/1995,,,
4/1/1995,,,
5/1/1995,,,
6/1/1995,,,
7/1/1995,,,
8/1/1995,,,
9/1/1995,,,
10/1/1995,,,
11/1/1995,,,
12/1/1995,,,
1/1/1996,,,
2/1/1996,,,
3/1/1996,,,
4/1/1996,,,
5/1/1996,,,
6/1/1996,,,
7/1/1996,,,
8/1/1996,,,
9/1/1996,,,
10/1/1996,,,
11/1/1996,,,
12/1/1996,,,
1/1/1997,,,
2/1/1997,,,
3/1/1997,,,
4/1/1997,,,
5/1/1997,,,
6/1/1997,,,
7/1/1997,,,
8/1/1997,,,
9/1/1997,,,
10/1/1997,,,
11/1/1997,,,
12/1/1997,,,
1/1/1998,,,
2/1/1998,,,
3/1/1998,,,
4/1/1998,,,
5/1/1998,,,
6/1/1998,,,
7/1/1998,,,
8/1/1998,,,
9/1/1998,,,
10/1/1998,,,
11/1/1998,,,
12/1/1998,,,
1/1/1999,,,
2/1/1999,,,
3/1/1999,,,
4/1/1999,,,
5/1/1999,,,
6/1/1999,,,
7/1/1999,,,
8/1/1999,,,
9/1/1999,,,
10/1/1999,,,
11/1/1999,,,
12/1/1999,,,
1/1/2000,20,6,5
2/1/2000,20,5,4
3/1/2000,23,4,4
4/1/2000,20,5,5
5/1/2000,22,5,4
6/1/2000,22,4,4
7/1/2000,20,6,5
8/1/2000,23,4,4
9/1/2000,20,6,4
10/1/2000,22,4,5
11/1/2000,20,6,4
12/1/2000,20,6,5
1/1/2001,21,6,4
2/1/2001,19,5,4
3/1/2001,22,5,4
4/1/2001,21,4,5
5/1/2001,22,5,4
6/1/2001,21,5,4
7/1/2001,21,5,5
8/1/2001,23,4,4
9/1/2001,19,6,5
10/1/2001,23,4,4
11/1/2001,20,6,4
12/1/2001,20,6,5
1/1/2002,21,6,4
2/1/2002,19,5,4
3/1/2002,21,5,5
4/1/2002,22,4,4
5/1/2002,22,5,4
6/1/2002,20,5,5
7/1/2002,22,5,4
8/1/2002,22,5,4
9/1/2002,20,5,5
10/1/2002,23,4,4
11/1/2002,19,7,4
12/1/2002,21,5,5
1/1/2003,21,6,4
2/1/2003,19,5,4
3/1/2003,21,5,5
4/1/2003,22,4,4
5/1/2003,21,6,4
6/1/2003,21,4,5
7/1/2003,22,5,4
8/1/2003,21,5,5
9/1/2003,21,5,4
10/1/2003,23,4,4
11/1/2003,18,7,5
12/1/2003,22,5,4
1/1/2004,20,7,4
2/1/2004,19,5,5
3/1/2004,23,4,4
4/1/2004,22,4,4
5/1/2004,20,6,5
6/1/2004,22,4,4
7/1/2004,21,6,4
8/1/2004,22,4,5
9/1/2004,21,5,4
10/1/2004,21,5,5
11/1/2004,20,6,4
12/1/2004,21,6,4
1/1/2005,20,6,5
2/1/2005,19,5,4
3/1/2005,23,4,4
4/1/2005,21,5,4
5/1/2005,21,5,5
6/1/2005,22,4,4
7/1/2005,20,6,5
8/1/2005,23,4,4
9/1/2005,21,5,4
10/1/2005,21,5,5
11/1/2005,20,6,4
12/1/2005,21,6,4
1/1/2006,20,6,5
2/1/2006,19,5,4
3/1/2006,23,4,4
4/1/2006,20,5,5
5/1/2006,22,5,4
6/1/2006,22,4,4
7/1/2006,20,6,5
8/1/2006,23,4,4
9/1/2006,20,6,4
10/1/2006,22,4,5
11/1/2006,20,6,4
12/1/2006,20,6,5
1/1/2007,21,6,4
2/1/2007,19,5,4
3/1/2007,22,5,4
4/1/2007,21,4,5
5/1/2007,22,5,4
6/1/2007,21,5,4
7/1/2007,21,5,5
8/1/2007,23,4,4
9/1/2007,19,6,5
10/1/2007,23,4,4
11/1/2007,20,6,4
12/1/2007,20,6,5
1/1/2008,21,6,4
2/1/2008,20,5,4
3/1/2008,21,5,5
4/1/2008,22,4,4
5/1/2008,21,6,4
6/1/2008,21,4,5
7/1/2008,22,5,4
8/1/2008,21,5,5
9/1/2008,21,5,4
10/1/2008,23,4,4
11/1/2008,18,7,5
12/1/2008,22,5,4
1/1/2009,20,7,4
2/1/2009,19,5,4
3/1/2009,22,4,5
4/1/2009,22,4,4
5/1/2009,20,6,5
6/1/2009,22,4,4
7/1/2009,22,5,4
8/1/2009,21,5,5
9/1/2009,21,5,4
10/1/2009,22,5,4
11/1/2009,19,6,5
12/1/2009,22,5,4
1/1/2010,19,7,5
2/1/2010,19,5,4
3/1/2010,23,4,4
4/1/2010,22,4,4
5/1/2010,20,6,5
6/1/2010,22,4,4
7/1/2010,21,6,4
8/1/2010,22,4,5
9/1/2010,21,5,4
10/1/2010,21,5,5
11/1/2010,20,6,4
12/1/2010,21,6,4
1/1/2011,20,6,5
2/1/2011,19,5,4
3/1/2011,23,4,4
4/1/2011,21,5,4
5/1/2011,21,5,5
6/1/2011,22,4,4
7/1/2011,20,6,5
8/1/2011,23,4,4
9/1/2011,21,5,4
10/1/2011,21,5,5
11/1/2011,20,6,4
12/1/2011,21,6,4
1/1/2012,20,6,5
2/1/2012,20,5,4
3/1/2012,22,5,4
4/1/2012,21,4,5
5/1/2012,22,5,4
6/1/2012,21,5,4
7/1/2012,21,5,5
8/1/2012,23,4,4
9/1/2012,19,6,5
10/1/2012,23,4,4
11/1/2012,20,6,4
12/1/2012,20,6,5
1/1/2013,21,6,4
2/1/2013,19,5,4
3/1/2013,21,5,5
4/1/2013,22,4,4
5/1/2013,22,5,4
6/1/2013,20,5,5
7/1/2013,22,5,4
8/1/2013,22,5,4
9/1/2013,20,5,5
10/1/2013,23,4,4
