month,week,sat,sun,sat_alt,sun_alt,weekdays,saturdays,sundays,dum_911_base,supersandy,summer_of_hell,end_close,mon,dummy_1,dummy_2,dummy_3,dummy_4,dummy_5,dummy_6,dummy_7,dummy_8,dummy_9,dummy_10,dummy_11,dummy_12,pop_hudson,real_fare,sun_x_avg,sat_x_avg,week_x_avg,man_hud,avg_wkdayholminor_tstile,avg_satholmajor_tstile,avg_sun_tstile,man_hud_opt,man_hud_pess,population_hud_opt,population_hud_pess,real_fare_q1,num_wkdayholminor,num_satholmajor,num_sun,total_days,,,
1/1/96,NA,NA,NA,NA,NA,21,4,6,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,582.4916109,1.635770631,NA,NA,NA,2207.043523,NA,NA,NA,2207.009856,2207.043523,582.4916101,582.4916101,1.698699213,NA,NA,NA,NA,,,165.374
2/1/96,NA,NA,NA,NA,NA,20,4,5,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,583.044038,1.626885938,NA,NA,NA,2214.709727,NA,NA,NA,2218.606207,2214.709727,583.0112051,583.0112051,1.698699213,NA,NA,NA,NA,,,
3/1/96,NA,NA,NA,NA,NA,21,5,5,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,583.5642314,1.619069069,NA,NA,NA,2223.641852,NA,NA,NA,2226.262354,2223.641852,583.5419831,583.5419831,1.695071451,NA,NA,NA,NA,,,
4/1/96,NA,NA,NA,NA,NA,22,4,4,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,584.0658953,1.623945783,NA,NA,NA,2230.936646,NA,NA,NA,2230.889663,2230.936646,584.0658705,584.0658705,1.691865416,NA,NA,NA,NA,,,
5/1/96,NA,NA,NA,NA,NA,22,4,5,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,584.5645756,1.620042067,NA,NA,NA,2234.57889,NA,NA,NA,2233.480908,2234.57889,584.5733505,584.5733505,1.688901012,NA,NA,NA,NA,,,
6/1/96,NA,NA,NA,NA,NA,20,5,5,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,585.0831856,1.619069069,NA,NA,NA,2236.105505,NA,NA,NA,2235.354508,2236.105505,585.0891333,585.0891333,1.685974767,NA,NA,NA,NA,,,
7/1/96,NA,NA,NA,NA,NA,22,4,5,0,0,0,0,7,0,0,0,0,0,0,1,0,0,0,0,0,585.6464809,1.617126575,NA,NA,NA,2237.941451,NA,NA,NA,2237.91029,2237.941451,585.6464858,585.6464858,1.682879549,NA,NA,NA,NA,,,
8/1/96,NA,NA,NA,NA,NA,22,5,4,0,0,0,0,8,0,0,0,0,0,0,0,1,0,0,0,0,586.2700073,1.61229067,NA,NA,NA,2241.887717,NA,NA,NA,2242.14103,2241.887717,586.2676666,586.2676666,1.679443833,NA,NA,NA,NA,,,
9/1/96,NA,NA,NA,NA,NA,20,4,6,0,0,0,0,9,0,0,0,0,0,0,0,0,1,0,0,0,586.9324732,1.602705113,NA,NA,NA,2247.249425,NA,NA,NA,2247.411293,2247.249425,586.9308999,586.9308999,1.675628615,NA,NA,NA,NA,,,
10/1/96,NA,NA,NA,NA,NA,22,4,5,0,0,0,0,10,0,0,0,0,0,0,0,0,0,1,0,0,587.6033779,1.602705113,NA,NA,NA,2252.70773,NA,NA,NA,2252.67859,2252.70773,587.6034016,587.6034016,1.671428324,NA,NA,NA,NA,,,
11/1/96,NA,NA,NA,NA,NA,18,5,7,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,1,0,588.2585328,1.600801663,NA,NA,NA,2257.253879,NA,NA,NA,2257.151793,2257.253879,588.2591831,588.2591831,1.666939279,NA,NA,NA,NA,,,
12/1/96,NA,NA,NA,NA,NA,21,4,6,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,1,588.8989988,1.599851632,NA,NA,NA,2261.119489,NA,NA,NA,2261.045217,2261.119489,588.8994385,588.8994385,1.662658767,NA,NA,NA,NA,,,
1/1/97,NA,NA,NA,NA,NA,21,4,6,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,589.5321495,1.594175044,NA,NA,NA,2264.846268,NA,NA,NA,2264.824539,2264.846268,589.5321576,589.5321576,1.659174353,NA,NA,NA,NA,,,
2/1/97,NA,NA,NA,NA,NA,19,4,5,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,590.1658007,1.584803057,NA,NA,NA,2268.909127,NA,NA,NA,2268.905096,2268.909127,590.1656416,590.1656416,1.656863789,NA,NA,NA,NA,,,
3/1/97,NA,NA,NA,NA,NA,21,5,5,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,590.8095389,1.579232572,NA,NA,NA,2273.51578,NA,NA,NA,2273.500864,2273.51578,590.8094382,590.8094382,1.655299932,NA,NA,NA,NA,,,
4/1/97,NA,NA,NA,NA,NA,22,4,4,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,591.4733931,1.583871915,NA,NA,NA,2278.807143,NA,NA,NA,2278.775481,2278.807143,591.4734062,591.4734062,1.653861062,NA,NA,NA,NA,,,
5/1/97,NA,NA,NA,NA,NA,21,5,5,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,592.1580522,1.586668629,NA,NA,NA,2284.822946,NA,NA,NA,2284.786335,2284.822946,592.1581018,592.1581018,1.652013732,NA,NA,NA,NA,,,
6/1/97,NA,NA,NA,NA,NA,21,4,5,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,592.826845,1.582941867,NA,NA,NA,2291.198186,NA,NA,NA,2291.165824,2291.198186,592.8268688,592.8268688,1.6495617,NA,NA,NA,NA,,,
7/1/97,NA,NA,NA,NA,NA,22,4,5,0,0,0,0,7,0,0,0,0,0,0,1,0,0,0,0,0,593.4337603,1.578307963,NA,NA,NA,2297.466673,NA,NA,NA,2297.440098,2297.466673,593.4337482,593.4337482,1.646394857,NA,NA,NA,NA,,,
8/1/97,NA,NA,NA,NA,NA,21,5,5,0,0,0,0,8,0,0,0,0,0,0,0,1,0,0,0,0,593.9476225,1.578307963,NA,NA,NA,2303.272632,NA,NA,NA,2303.247538,2303.272632,593.9476044,593.9476044,1.642567307,NA,NA,NA,NA,,,
9/1/97,NA,NA,NA,NA,NA,21,4,5,0,0,0,0,9,0,0,0,0,0,0,0,0,1,0,0,0,594.3965986,1.570034945,NA,NA,NA,2308.70194,NA,NA,NA,2308.675454,2308.70194,594.3965965,594.3965965,1.638773923,NA,NA,NA,NA,,,
