month,YR,MTH,Weekdays,Saturdays,Sundays,Holidays,Wkday+HolMinor,Saturday+HolMajor,Sundays,TotalDays
1/1/2019,2019,1,21,4,4,2,21,6,4,31
2/1/2019,2019,2,19,4,4,1,19,5,4,28
3/1/2019,2019,3,21,5,5,0,21,5,5,31
4/1/2019,2019,4,22,4,4,0,22,4,4,30
5/1/2019,2019,5,22,4,4,1,22,5,4,31
6/1/2019,2019,6,20,5,5,0,20,5,5,30
7/1/2019,2019,7,22,4,4,1,22,5,4,31
8/1/2019,2019,8,22,5,4,0,22,5,4,31
9/1/2019,2019,9,20,4,5,1,20,5,5,30
10/1/2019,2019,10,22,4,4,1,23,4,4,31
11/1/2019,2019,11,18,5,4,3,19,7,4,30
12/1/2019,2019,12,21,4,5,1,21,5,5,31
1/1/2020,2020,1,21,4,4,2,21,6,4,31
2/1/2020,2020,2,19,5,4,1,19,6,4,29
3/1/2020,2020,3,22,4,5,0,22,4,5,31
4/1/2020,2020,4,22,4,4,0,22,4,4,30
5/1/2020,2020,5,20,5,5,1,20,6,5,31
6/1/2020,2020,6,22,4,4,0,22,4,4,30
7/1/2020,2020,7,22,4,4,1,22,5,4,31
8/1/2020,2020,8,21,5,5,0,21,5,5,31
9/1/2020,2020,9,21,4,4,1,21,5,4,30
10/1/2020,2020,10,21,5,4,1,22,5,4,31
11/1/2020,2020,11,18,4,5,3,19,6,5,30
12/1/2020,2020,12,22,4,4,1,22,5,4,31
1/1/2021,2021,1,19,5,5,2,19,7,5,31
2/1/2021,2021,2,19,4,4,1,19,5,4,28
3/1/2021,2021,3,23,4,4,0,23,4,4,31
4/1/2021,2021,4,22,4,4,0,22,4,4,30
5/1/2021,2021,5,20,5,5,1,20,6,5,31
6/1/2021,2021,6,22,4,4,0,22,4,4,30
7/1/2021,2021,7,21,5,4,1,21,6,4,31
8/1/2021,2021,8,22,4,5,0,22,4,5,31
9/1/2021,2021,9,21,4,4,1,21,5,4,30
10/1/2021,2021,10,20,5,5,1,21,5,5,31
11/1/2021,2021,11,19,4,4,3,20,6,4,30
12/1/2021,2021,12,21,4,4,2,21,6,4,31
1/1/2022,2022,1,20,5,5,1,20,6,5,31
2/1/2022,2022,2,19,4,4,1,19,5,4,28
3/1/2022,2022,3,23,4,4,0,23,4,4,31
4/1/2022,2022,4,21,5,4,0,21,5,4,30
5/1/2022,2022,5,21,4,5,1,21,5,5,31
6/1/2022,2022,6,22,4,4,0,22,4,4,30
7/1/2022,2022,7,20,5,5,1,20,6,5,31
8/1/2022,2022,8,23,4,4,0,23,4,4,31
9/1/2022,2022,9,21,4,4,1,21,5,4,30
10/1/2022,2022,10,20,5,5,1,21,5,5,31
11/1/2022,2022,11,19,4,4,3,20,6,4,30
12/1/2022,2022,12,21,5,4,1,21,6,4,31
1/1/2023,2023,1,20,4,5,2,20,6,5,31
2/1/2023,2023,2,19,4,4,1,19,5,4,28
3/1/2023,2023,3,23,4,4,0,23,4,4,31
4/1/2023,2023,4,20,5,5,0,20,5,5,30
5/1/2023,2023,5,22,4,4,1,22,5,4,31
