,Port.Authority.Area,New.York.City,Bronx.County,Kings.County,Nassau.County,New.York.County,Queens.County,Richmond.County,Rockland.County,Suffolk.County,Westchester.County,Bergen.County,Essex.County,Hudson.County,Middlesex.County,Monmouth.County,Morris.County,Passaic.County,Somerset.County,Union.County,PA.Moderate,PA.Protracted,New.York.Co.Protracted,Hudson.Co.Protracted,Man.Hud.Emp.Moderate,Man.Hud.Emp.Protracted
1/1/96,7412.376,3387.648102,272.7672725,498.3055515,571.7291861,1973.860682,546.9325088,95.7820878,95.62176449,511.6404286,378.8610687,435.738684,371.8866432,234.15469,375.5740436,220.5259953,254.4033169,180.8163617,157.7187732,236.0578419,7403.353364,7403.353364,1973.860682,234.15469,2208.015372,2208.015372
2/1/96,7432.871935,3396.345856,274.3067124,499.7368625,573.5997096,1983.753951,542.0823614,96.46596851,95.94763545,514.6846967,380.7867353,437.4119368,371.8115358,235.8202161,375.1627363,221.1735572,255.6666429,180.3380245,157.8989963,236.2247013,7418.130556,7418.130556,1983.753951,235.8202161,2219.574167,2219.574167
3/1/96,7449.951046,3403.115089,274.8334672,500.7774902,575.0717937,1991.170723,539.3372519,96.99615656,96.3757213,516.7322819,382.1513132,438.9835486,371.6745734,236.1827186,376.0520611,222.1341601,256.4382149,180.0885493,158.7105466,236.2412772,7432.937243,7432.937243,1991.170723,236.1827186,2227.353442,2227.353442
4/1/96,7464.167,3408.310007,274.5692219,501.4806006,576.2168233,1996.602884,538.2551446,97.4021554,96.85997907,518.0061031,383.0600809,440.4450845,371.5001544,235.6047586,377.8786184,223.2782391,256.8509307,180.0140937,159.9903485,236.1520786,7447.773484,7447.773484,1996.602884,235.6047586,2232.207643,2232.207643
5/1/96,7476.104812,3412.312856,273.7440292,501.9071059,577.1260672,2000.579612,538.3632302,97.71887835,97.34807791,518.7649999,383.6233048,441.7847119,371.3118739,234.4828387,380.2320471,224.4439193,257.0388293,180.0614704,161.5595917,236.0139079,7462.639339,7462.639339,2000.579612,234.4828387,2235.062451,2235.062451
6/1/96,7486.474892,3415.618056,272.6214135,502.1489029,577.9703313,2003.779257,539.0656038,98.00287807,97.76253551,519.4114948,383.9712027,442.9770083,371.1301122,233.3492266,382.5141408,225.340086,257.1405129,180.1801136,163.1765281,235.9327397,7477.534866,7477.534866,2003.779257,233.3492266,2237.128484,2237.128484
7/1/96,7496.019,3418.748068,271.4732673,502.3056344,578.9403055,2006.917462,539.7355866,98.3161171,98.01958169,520.384031,384.2389807,443.9931538,370.9744461,232.7701316,384.0797321,225.6433145,257.295725,180.3201128,164.5836754,236.026842,7492.460125,7492.460125,2006.917462,232.7701316,2239.687594,2239.687594
8/1/96,7505.32215,3422.085139,270.5296433,502.4382127,580.1272587,2010.523405,539.9003693,98.69350874,98.06688562,521.9414482,384.536905,444.8213159,370.8684705,233.1420561,384.5184599,225.1917299,257.6385043,180.4282807,165.6022233,236.353017,7507.415175,7507.415175,2010.523405,233.1420561,2243.665461,2243.665461
9/1/96,7514.342385,3425.450661,269.8532361,502.4526272,581.2247759,2014.380408,539.7026198,99.06176941,97.97787375,523.6241711,384.875484,445.5176116,370.8518534,234.1826763,384.359189,224.4696565,258.2800718,180.4383235,166.3680505,236.7222044,7522.400076,7522.400076,2014.380408,234.1826763,2248.563085,2248.563085
10/1/96,7522.881,3428.525812,269.4649008,502.2161371,581.8270212,2018.085332,539.4388757,99.32056632,97.85741188,524.7930209,385.2402865,446.1551456,370.9682807,235.4399617,384.365591,224.1229683,259.3259442,180.2806705,167.0957077,236.8838783,7537.414886,7537.414886,2018.085332,235.4399617,2253.525294,2253.525294
