month,week,sat,sun,sat_alt,sun_alt,weekdays,saturdays,sundays,dum_911_base,supersandy,summer_of_hell,end_close,mon,dummy_1,dummy_2,dummy_3,dummy_4,dummy_5,dummy_6,dummy_7,dummy_8,dummy_9,dummy_10,dummy_11,dummy_12,pop_hudson,real_fare,sun_x_avg,sat_x_avg,week_x_avg,man_hud,avg_wkdayholminor_tstile,avg_satholmajor_tstile,avg_sun_tstile
1/1/1996,NA,NA,NA,NA,NA,21,4,6,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,582.4916101,1.635770631,NA,NA,NA,2207.043523,NA,NA,NA
2/1/1996,NA,NA,NA,NA,NA,20,4,5,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,583.0112051,1.626885938,NA,NA,NA,2214.709727,NA,NA,NA
3/1/1996,NA,NA,NA,NA,NA,21,5,5,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,583.5419831,1.619069069,NA,NA,NA,2223.641852,NA,NA,NA
4/1/1996,NA,NA,NA,NA,NA,22,4,4,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,584.0658705,1.623945783,NA,NA,NA,2230.936646,NA,NA,NA
5/1/1996,NA,NA,NA,NA,NA,22,4,5,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,584.5733505,1.620042067,NA,NA,NA,2234.57889,NA,NA,NA
6/1/1996,NA,NA,NA,NA,NA,20,5,5,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,585.0891333,1.619069069,NA,NA,NA,2236.105505,NA,NA,NA
7/1/1996,NA,NA,NA,NA,NA,22,4,5,0,0,0,0,7,0,0,0,0,0,0,1,0,0,0,0,0,585.6464858,1.617126575,NA,NA,NA,2237.941451,NA,NA,NA
8/1/1996,NA,NA,NA,NA,NA,22,5,4,0,0,0,0,8,0,0,0,0,0,0,0,1,0,0,0,0,586.2676666,1.61229067,NA,NA,NA,2241.887717,NA,NA,NA
9/1/1996,NA,NA,NA,NA,NA,20,4,6,0,0,0,0,9,0,0,0,0,0,0,0,0,1,0,0,0,586.9308999,1.602705113,NA,NA,NA,2247.249425,NA,NA,NA
10/1/1996,NA,NA,NA,NA,NA,22,4,5,0,0,0,0,10,0,0,0,0,0,0,0,0,0,1,0,0,587.6034016,1.602705113,NA,NA,NA,2252.70773,NA,NA,NA
11/1/1996,NA,NA,NA,NA,NA,18,5,7,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,1,0,588.2591831,1.600801663,NA,NA,NA,2257.253879,NA,NA,NA
12/1/1996,NA,NA,NA,NA,NA,21,4,6,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,1,588.8994385,1.599851632,NA,NA,NA,2261.119489,NA,NA,NA
1/1/1997,NA,NA,NA,NA,NA,21,4,6,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,589.5321576,1.594175044,NA,NA,NA,2264.846268,NA,NA,NA
2/1/1997,NA,NA,NA,NA,NA,19,4,5,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,590.1656416,1.584803057,NA,NA,NA,2268.909127,NA,NA,NA
3/1/1997,NA,NA,NA,NA,NA,21,5,5,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,590.8094382,1.579232572,NA,NA,NA,2273.51578,NA,NA,NA
4/1/1997,NA,NA,NA,NA,NA,22,4,4,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,591.4734062,1.583871915,NA,NA,NA,2278.807143,NA,NA,NA
5/1/1997,NA,NA,NA,NA,NA,21,5,5,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,592.1581018,1.586668629,NA,NA,NA,2284.822946,NA,NA,NA
6/1/1997,NA,NA,NA,NA,NA,21,4,5,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,592.8268688,1.582941867,NA,NA,NA,2291.198186,NA,NA,NA
7/1/1997,NA,NA,NA,NA,NA,22,4,5,0,0,0,0,7,0,0,0,0,0,0,1,0,0,0,0,0,593.4337482,1.578307963,NA,NA,NA,2297.466673,NA,NA,NA
8/1/1997,NA,NA,NA,NA,NA,21,5,5,0,0,0,0,8,0,0,0,0,0,0,0,1,0,0,0,0,593.9476044,1.578307963,NA,NA,NA,2303.272632,NA,NA,NA
9/1/1997,NA,NA,NA,NA,NA,21,4,5,0,0,0,0,9,0,0,0,0,0,0,0,0,1,0,0,0,594.3965965,1.570034945,NA,NA,NA,2308.70194,NA,NA,NA
10/1/1997,NA,NA,NA,NA,NA,22,4,5,0,0,0,0,10,0,0,0,0,0,0,0,0,0,1,0,0,594.8237071,1.564567615,NA,NA,NA,2313.950886,NA,NA,NA
11/1/1997,NA,NA,NA,NA,NA,17,5,8,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,1,0,595.2630831,1.567296512,NA,NA,NA,2319.208344,NA,NA,NA
12/1/1997,NA,NA,NA,NA,NA,22,4,5,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,1,595.7135283,1.568208261,NA,NA,NA,2324.633528,NA,NA,NA
1/1/1998,NA,NA,NA,NA,NA,20,5,6,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,596.1650109,1.566385822,NA,NA,NA,2330.378234,NA,NA,NA
2/1/1998,NA,NA,NA,NA,NA,19,4,5,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,596.6096133,1.560943833,NA,NA,NA,2336.591297,NA,NA,NA
3/1/1998,NA,NA,NA,NA,NA,22,4,5,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,597.0478751,1.558236994,NA,NA,NA,2343.4097,NA,NA,NA
4/1/1998,NA,NA,NA,NA,NA,22,4,4,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,597.4824502,1.558236994,NA,NA,NA,2350.96746,NA,NA,NA
5/1/1998,NA,NA,NA,NA,NA,20,5,6,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,597.9165738,1.558236994,NA,NA,NA,2359.132084,NA,NA,NA
6/1/1998,NA,NA,NA,NA,NA,22,4,4,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,598.3558053,1.5573368,NA,NA,NA,2366.70503,NA,NA,NA
7/1/1998,NA,NA,NA,NA,NA,22,4,5,0,0,0,0,7,0,0,0,0,0,0,1,0,0,0,0,0,598.8062855,1.552851382,NA,NA,NA,2372.221243,NA,NA,NA
8/1/1998,NA,NA,NA,NA,NA,21,5,5,0,0,0,0,8,0,0,0,0,0,0,0,1,0,0,0,0,599.272145,1.54750287,NA,NA,NA,2374.891747,NA,NA,NA
9/1/1998,NA,NA,NA,NA,NA,21,4,5,0,0,0,0,9,0,0,0,0,0,0,0,0,1,0,0,0,599.749474,1.545728211,NA,NA,NA,2376.631887,NA,NA,NA
10/1/1998,NA,NA,NA,NA,NA,21,5,5,0,0,0,0,10,0,0,0,0,0,0,0,0,0,1,0,0,600.2323528,1.542191076,NA,NA,NA,2380.033084,NA,NA,NA
11/1/1998,NA,NA,NA,NA,NA,18,4,8,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,1,0,600.71554,1.543073841,NA,NA,NA,2386.738911,NA,NA,NA
12/1/1998,NA,NA,NA,NA,NA,22,4,5,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,1,601.1965078,1.543073841,NA,NA,NA,2394.601531,NA,NA,NA
1/1/1999,NA,NA,NA,NA,NA,19,5,7,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,601.6734067,1.540428571,NA,NA,NA,2400.525256,NA,NA,NA
2/1/1999,NA,NA,NA,NA,NA,19,4,5,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,602.1454032,1.539548829,NA,NA,NA,2402.48411,NA,NA,NA
3/1/1999,NA,NA,NA,NA,NA,23,4,4,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,602.6157268,1.536039886,NA,NA,NA,2402.730962,NA,NA,NA
