month,week,sat,sun,sat_alt,sun_alt,avg_wkdayholminor_tstile,avg_satholmajor_tstile,avg_sun_tstile
1/1/00,NA,NA,NA,NA,NA,232710,85325.66667,60462
2/1/00,NA,NA,NA,NA,NA,244019,94431.8,65227
3/1/00,NA,NA,NA,NA,NA,247544,99765,68909
4/1/00,NA,NA,NA,NA,NA,245914,100145,67410
5/1/00,NA,NA,NA,NA,NA,257985,92609.4,75643
6/1/00,NA,NA,NA,NA,NA,260820,102604,77873
7/1/00,NA,NA,NA,NA,NA,250338,105842,72115
8/1/00,NA,NA,NA,NA,NA,253989,102662,76739
9/1/00,NA,NA,NA,NA,NA,267337,102789.5,80405
10/1/00,NA,NA,NA,NA,NA,267080.9545,112181,78463
11/1/00,NA,NA,NA,NA,NA,266352.3132,112571.4559,72218
12/1/00,NA,NA,NA,NA,NA,256185,91876.83333,74820
1/1/01,NA,NA,NA,NA,NA,258328,93508,64854
2/1/01,NA,NA,NA,NA,NA,259913,99738.8,64644
3/1/01,NA,NA,NA,NA,NA,260170,108856,71413
4/1/01,NA,NA,NA,NA,NA,259015,105199,72270
5/1/01,NA,NA,NA,NA,NA,260982,94160.6,76338
6/1/01,NA,NA,NA,NA,NA,262492,95778,78275
7/1/01,NA,NA,NA,NA,NA,254760,100510,72905
8/1/01,NA,NA,NA,NA,NA,250885,97968,74795
9/1/01,NA,NA,NA,NA,NA,202934,93006.16667,72466
10/1/01,NA,NA,NA,NA,NA,208724.5652,89945,66140
11/1/01,NA,NA,NA,NA,NA,196112.1782,80549.23924,63770
12/1/01,NA,NA,NA,NA,NA,178241,89199.83333,66571
1/1/02,181507,77547,54022,77547,54022,181507,75046.66667,54022
2/1/02,179839,83041,57610,83041,57610,179839,82211.4,57610
3/1/02,177386,89899,57979,89899,57979,177386,89899,57979
4/1/02,182462,86839,60076,86839,60076,182462,86839,60076
5/1/02,176502,81898,62811,81898,62811,176503,77315.2,62811
6/1/02,175940,83420,66756,83420,66756,175940,83420,66756
7/1/02,169371,80263,60934,80263,60934,169371,76503,60934
8/1/02,168532,78131,64622,78131,64622,168532,78132,64622
9/1/02,176328,89599,63358,89599,63358,176328,83911.8,63358
10/1/02,170083,80731,63646,80731,63646,168429.5652,80731,63646
11/1/02,168713,83538,61843,83538,61843,167672.483,82316.11755,61844
12/1/02,161982,90845,67300,90845,67300,157958,88170,67300
1/1/03,160048,71488,51824,71488,51824,160170,71655.33333,51824
2/1/03,160867,71921,52513,71921,52513,160867,62116.2,52513
3/1/03,160269,84040,57064,84040,57064,160269,84040,57064
4/1/03,157178,76129,59661,76129,59661,157178,76129,59661
5/1/03,157661,75650,59529,75650,59529,157661,70609.66667,59529
6/1/03,161773,75878,63435,75878,63435,157628,75878,63435
7/1/03,159151,78959,59233,78959,59233,159115.5455,78291.4,59233
8/1/03,144250,73561,60693,73561,60693,144234.4286,73522.4,60693
9/1/03,159573,80677,63307,80677,63307,159563.1905,76001,63114.75
10/1/03,160130,81679,60482,81679,60482,159225.3043,81679,60430
11/1/03,163070,86242,62725,86242,62725,161795.4444,88218.71429,62725
12/1/03,176505,87730,62313,87730,62313,172311.0909,86788.2,62275.75
1/1/04,177570,74050,49634,74050,49634,177525.4,75804,49634
2/1/04,191291,88649,60970,88649,60970,191287.4211,87300,60970
3/1/04,189097,91208,64254,91208,64254,189024.1304,91208,64254
4/1/04,190263,96222,64910,96222,64910,190263,96222,64828.75
5/1/04,194556,91377,67675,91377,67675,194556,85723,67675
6/1/04,199902,90659,74653,90659,74653,199902,90659,74653
7/1/04,195926,88593,68117,88593,68117,195774.0476,84863.66667,68117
8/1/04,192886,86926,69522,86926,69522,192886,86926,69522
9/1/04,200209,86290,71098,86290,71098,200209,84600.4,71098
10/1/04,200575,90672,69064,90672,69064,198391.8571,90672,69064
11/1/04,196542,89946,64852,89946,64852,195030.15,91410.66667,64852
12/1/04,193804,105516,71552,105516,71552,199264,92326.33333,71552
1/1/05,186923.55,70081.6,52942.67,70081.6,52942.67,191490.35,74210.5,53086.6
2/1/05,196499,86386,65767,86386,65767,196499,83408.8,65767
3/1/05,193516,89088,57685,89088,57685,193516,89088,57685
4/1/05,209008,86284,64892,86284,64892,208759.4762,86284,64892
5/1/05,206201,92896,70702,92896,70702,206201,88679.2,70702
6/1/05,211199,94721,76908,94721,76908,211153.3182,94610.25,76908
7/1/05,207674,93597,73815.33,93597,73815.33,207674,92257.33333,73437.8
8/1/05,202984.83,87177.5,65888.5,87177.5,65888.5,202986.8261,87189.5,65926.5
9/1/05,211180.81,95081.25,74779,95081.25,74779,211369.8095,90114.6,74779
10/1/05,212579,90173,70018,90173,70018,210197.619,90173,70018
11/1/05,214737.21,93767.75,70049.57,93767.75,70049.57,213309.3,92866.83333,70244.25
12/1/05,215752.57,92583.6,62640,92583.6,62640,216012.5714,89367,62640
1/1/06,212332.3,82453,60693,82453,60693,212746,83670.33333,60693
2/1/06,219429,89256,56117,89256,56117,219429,89881.8,56117
3/1/06,221870.57,103526.75,67545,103526.75,67545,221795.8261,103938.75,67545
4/1/06,220328,96945.6,73620,96945.6,73620,220328,97400.6,73620
5/1/06,225889.09,105549.75,80740,105549.75,80740,227054.0909,100293.4,80740
6/1/06,230249.82,94873,82910,94873,82910,231531.2727,95307,81910
7/1/06,224742.35,98518,76873.33,98518,76873.33,225172.25,96554.16667,76882
8/1/06,224598.96,100488,75649,100488,75649,224921.6522,100514,75649
9/1/06,233081.05,99389,84260,99389,84260,233170.05,98325.16667,84260
10/1/06,236989.19,100677,78676,100677,78676,235527.6818,100677,78676
11/1/06,238040,110225.5,78840,110225.5,78840,237786.4,108317.1667,78996.25
12/1/06,227394.75,114936,89930,114936,89930,227508.75,103541.3333,89930
1/1/07,229700,95844,68643,95844,68643,229699,94339.33333,68644
2/1/07,229594,94335,67784,94335,67784,229594,93647.4,67784
3/1/07,235968,109369.8,73284,109369.8,73284,235968,109374.8,73284
4/1/07,235003.43,111836,71894,111836,71894,235043.4286,111836,71894
5/1/07,244658.32,110349,84684,110349,84684,244851.3182,103857.2,84684
6/1/07,249599.67,111629,89376,111629,89376,249602.6667,111655,89376
7/1/07,244971.71,110895,81560,110895,81560,245347.7143,107282.4,81560
8/1/07,241622.17,110079,84844,110079,84844,241628.1739,110079,84844
9/1/07,254124,112591,89869,112591,89869,254124,109146.1667,89869
10/1/07,256053,113290,87586,113290,87586,253604.7391,113290,87586
11/1/07,249638,107059,82364.43,107059,82364.43,247588.15,109267.3333,83149
12/1/07,231881.9,117363,77576,117363,77576,232050.9,106844.5,77576
1/1/08,241865.05,99235,70768,99235,70768,241848,97627.66667,70768
2/1/08,246334,100670,75110,100670,75110,246334,101263.2,75110
3/1/08,249518.62,112355,77552,112355,77552,249747.619,112355,77552
4/1/08,255987,117631,80425.5,117631,80425.5,255987,117631,80511.5
5/1/08,254911.05,113683,90551,113683,90551,254950.0476,109592.1667,90551
6/1/08,259420.43,118554,91660,118554,91660,259586.4286,118554,91660
7/1/08,258855.14,110751,86858.4,110751,86858.4,259215.1364,111847,86906.5
8/1/08,252399.62,118364,95810,118364,95810,252414.619,118364,95810
9/1/08,260381.95,109836,88276,109836,88276,260382.9524,106723.6,88276
10/1/08,260640.91,117083,89883,117083,89883,258126.3478,117083,89883
11/1/08,254777,109518,80642,109518,80642,253023.8889,111043.2857,80642
12/1/08,235603,114746,84490,114746,84490,235603,103819.8,84490
1/1/09,237640.85,93801.8,68950.67,93801.8,68950.67,237641,94161.42857,68951
2/1/09,244838.95,107609,79524,107609,79524,245971,107220.8,79524
3/1/09,242969.32,125257,77258,125257,77258,244049,125257,77256
4/1/09,243280.32,116011,87693,116011,87693,243728,116011,87695
5/1/09,244204.85,110631.8,83284.67,110631.8,83284.67,244205,106239.5,83285
6/1/09,244560.59,110544.75,92150,110544.75,92150,245069,111209,92152
7/1/09,244322.86,117284.75,88296.6,117284.75,88296.6,244323,120303.4,88298
8/1/09,237543,107731.6,85282,107731.6,85282,237543,108524,85281
9/1/09,246955.86,114435.75,90202.6,114435.75,90202.6,246956,110718.2,90203
10/1/09,249508.57,113373,86832,113373,86832,247210.0455,113373,86834
11/1/09,250266,109291,89116,109291,89116,248541.1053,109985.1667,89118
12/1/09,231385.27,101766,83431,101766,83431,232699,93292.4,83431
1/1/10,236940.0526,99284.14286,67567.4,97228,78098,236940.0526,99284.14286,67567.4
2/1/10,226631.8947,99940.8,78893.25,98245,84459,226631.8947,99940.8,78893.25
3/1/10,245117.2609,127170.5,80390,127171,80390,245117.2609,127170.5,80390
4/1/10,248004.5455,120618.5,82583.75,120619,82584,248004.5455,120618.5,82583.75
5/1/10,249744.2,115865.1667,92630.4,121560,91757,249744.2,115865.1667,92630.4
6/1/10,255148.5,122178.5,94189.5,122179,94190,255148.5,122178.5,94189.5
7/1/10,252856.0952,109546.1667,98591.75,113337,96992,252856.0952,109546.1667,98591.75
8/1/10,247377,123607.25,88465.2,123607,88465,247377,123607.25,88465.2
9/1/10,255066.8571,120629,94326.5,125946,95333,255066.8571,120629,94326.5
10/1/10,258095.1905,128413,100314.2,128413,116912,258095.1905,128413,100314.2
11/1/10,254552.9,117790.5,90011,120048,116412,254552.9,117790.5,90011
12/1/10,233197.381,125075.1667,81534.5,115934,102142,233197.381,125075.1667,81534.5
1/1/11,233686.95,103291,76760.2,101353,82797,233686.95,103291,76760.2
2/1/11,248985.6842,105016,84039.75,106615,86956,248985.6842,105016,84039.75
3/1/11,254413.4348,136294.25,83080.75,136294,83081,254413.4348,136294.25,83080.75
4/1/11,254241.6667,118432.4,90207.5,118432,90208,254241.6667,118432.4,90207.5
5/1/11,257066.5238,114203.4,92422,120764,91679,257066.5238,114203.4,92422
6/1/11,263255.5909,128292.5,104166.25,128293,104166,263255.5909,128292.5,104166.25
7/1/11,260469.35,123426.8333,92308.4,123492,97441,260469.35,123426.8333,92308.4
8/1/11,251151.4783,98044.5,62331.5,98045,62332,251151.4783,98044.5,62331.5
9/1/11,263274.5714,123436.4,100009,130121,99347,263274.5714,123436.4,100009
10/1/11,264716.6667,123129.8,100201.8,123130,117847,264716.6667,123129.8,100201.8
11/1/11,262479.45,123986,95457.25,123234,123865,262479.45,123986,95457.25
12/1/11,252091.5238,130805.6667,92412,135025,95871,252091.5238,130805.6667,92412
1/1/12,252769.35,106987.6667,86184,107208,92002,252769.35,106987.6667,86184
2/1/12,261032.75,115117.6,86594.25,114891,92480,261032.75,115117.6,86594.25
3/1/12,267881.7727,129661.2,91947.75,129661,91948,267881.7727,129661.2,91947.75
4/1/12,260698.7619,132474.5,88181,132475,88181,260698.7619,132474.5,88181
5/1/12,261233.7727,121824,99555.5,129287,98039,261233.7727,121824,99555.5
6/1/12,264730.8095,125922.6,105328.25,125923,105328,264730.8095,125922.6,105328.25
7/1/12,264224,126706.4,97788.4,124534,104056,264224,126706.4,97788.4
8/1/12,256134.5652,124031,100599.25,124031,100599,256134.5652,124031,100599.25
9/1/12,267479.9474,125632.8333,103751.4,131997,102095,267479.9474,125632.8333,103751.4
10/1/12,232578.5217,137725.25,92079.25,137725,115443,232578.5217,137725.25,92079.25
11/1/12,121710.05,59748.16667,37912.25,NA,NA,121710.05,59748.16667,37912.25
12/1/12,185834.2,72759.33333,61082.2,NA,NA,185834.2,72759.33333,61082.2
1/1/13,217107.381,84610.16667,61876.5,NA,NA,217107.381,84610.16667,61876.5
2/1/13,233633.1579,87278.4,69437.5,NA,NA,233633.1579,87278.4,69437.5
3/1/13,235594.8095,118285,79938,NA,NA,235594.8095,118285,79938
4/1/13,247807.6364,122783.75,88547.5,NA,NA,247807.6364,122783.75,88547.5
5/1/13,249228.4545,107112.4,92739.5,NA,NA,249228.4545,107112.4,92739.5
6/1/13,252261.65,121761,97890.4,NA,NA,252261.65,121761,97890.4
7/1/13,250018.2727,117458.4,87679.5,NA,NA,250018.2727,117458.4,87679.5
8/1/13,245249.8182,120759.6,94318,NA,NA,245249.8182,120759.6,94318
9/1/13,256737.85,117259.4,95625.6,NA,NA,256737.85,117259.4,95625.6
10/1/13,256562.5652,125494.5,93437.75,NA,NA,256562.5652,125494.5,93437.75
11/1/13,249878.9474,111531.1429,82784.5,NA,NA,249878.9474,111531.1429,82784.5
12/1/13,232166.381,112703.2,85239.6,NA,NA,232166.381,112703.2,85239.6
1/1/14,231390.2857,95553.83333,72751.75,NA,NA,231390.2857,95553.83333,72751.75
2/1/14,232371.3158,110118.8,78641,NA,NA,232371.3158,110118.8,78641
3/1/14,248144,110695,73949,NA,NA,248144,110695,73949
4/1/14,252182.3636,112770.75,83101.25,NA,NA,252182.3636,112770.75,83101.25
5/1/14,255112.7143,106410,91522,NA,NA,255112.7143,106410,91522
6/1/14,259000.6667,112579.25,91968.2,NA,NA,259000.6667,112579.25,91968.2
7/1/14,257111.8182,107378.6,80838.5,NA,NA,257111.8182,107378.6,80838.5
8/1/14,249575.4762,104509,83146.8,NA,NA,249575.4762,104509,83146.8
9/1/14,258150.1429,105559.8,82507.75,NA,NA,258150.1429,105559.8,82507.75
10/1/14,259577.7391,105930.25,85194,NA,NA,259577.7391,105930.25,85194
11/1/14,251945,101305.8571,79014.8,NA,NA,251945,101305.8571,79014.8
12/1/14,236510,106840,85523.25,NA,NA,236510,106840,85523.25
1/1/15,227562.75,93332.85714,65719,88874,78640,227562.75,93332.85714,65719
2/1/15,245119.6316,94641.8,69431,94726,74406,245119.6316,94641.8,69431
3/1/15,250477.9091,107723,80340.6,107723,80341,250477.9091,107723,80340.6
4/1/15,257900.6818,122708.75,89893.5,122709,89894,257900.6818,122708.75,89893.5
5/1/15,264202.45,114788.1667,95415.2,119435,94771,264202.45,114788.1667,95415.2
6/1/15,266463.4545,116407.75,97615.25,116408,97615,266463.4545,116407.75,97615.25
7/1/15,266461.5455,120634,91505,116885,100330,266461.5455,120634,91505
8/1/15,258771.3333,119476.6,95663.6,119477,95664,258771.3333,119476.6,95663.6
9/1/15,268852.7619,118216.6,95914.25,124026,95727,268852.7619,118216.6,95914.25
10/1/15,271628.8636,123323,93542.75,123323,117169,271628.8636,123323,93542.75
11/1/15,266531.8421,112582.8333,92891.6,113984,114775,266531.8421,112582.8333,92891.6
12/1/15,247857.1818,115033.2,97921,125486,92981,247857.1818,115033.2,97921
1/1/16,250484.3684,93650.42857,67581.4,87875,79155,250484.3684,93650.42857,67581.4
2/1/16,259080.7,101432.6,77495.75,102088,81759,259080.7,101432.6,77495.75
3/1/16,265123.4348,119979.25,82666.75,119979,82667,265123.4348,119979.25,82666.75
4/1/16,269588.2857,117505.2,88256.5,117505,88257,269588.2857,117505.2,88256.5
5/1/16,271904.3333,110346.6,88916.4,117629,87633,271904.3333,110346.6,88916.4
6/1/16,277941.5909,120929.75,94236.75,120930,94237,277941.5909,120929.75,94236.75
7/1/16,272429.85,109279.8333,91290.6,111618,92341,272429.85,109279.8333,91290.6
8/1/16,269425.1739,97194.75,78344,NA,NA,269425.1739,97194.75,78344
9/1/16,277863.7143,104241.4,83959,NA,NA,277863.7143,104241.4,83959
10/1/16,273053.9524,99278.6,76732.4,NA,NA,273053.9524,99278.6,76732.4
11/1/16,275303.25,105661.3333,79026.25,NA,NA,275303.25,105661.3333,79026.25
12/1/16,258947.0476,101106.1667,76749.75,NA,NA,258947.0476,101106.1667,76749.75
1/1/17,266693.25,98820.16667,78604.8,97010,85415,266693.25,98820.16667,78604.8
2/1/17,266070.3158,112091.8,80353.75,110189,88224,266070.3158,112091.8,80353.75
3/1/17,265085.3913,107578,77458.5,107578,77459,265085.3913,107578,77458.5
4/1/17,278387.45,121896.8,93565.2,121897,93565,278387.45,121896.8,93565.2
5/1/17,284091.6364,103471.8,92974,110589,89380,284091.6364,103471.8,92974
6/1/17,288210.9091,124222.75,98632.5,124223,98633,288210.9091,124222.75,98632.5
7/1/17,279219,116646.8333,94802.6,118351,97023,279219,116646.8333,94802.6
8/1/17,272890.3478,119618.5,94766.5,119619,94767,272890.3478,119618.5,94766.5
9/1/17,292579.2,120137.6667,95157.25,124152,96139,292579.2,120137.6667,95157.25
10/1/17,293285.6364,129132,89989.8,129132,110852,293285.6364,129132,89989.8
11/1/17,289539.65,114253.8333,87081,115540,117904,289539.65,114253.8333,87081
12/1/17,265352.75,106297,91394.4,114860,86743,265352.75,106297,91394.4
1/1/18,266394.1905,98564.66667,70543,100394,78664,266394.1905,98564.66667,70543
2/1/18,279687.2632,104365.4,73607.75,101733,81866,279687.2632,104365.4,73607.75
3/1/18,262112.9091,118684.6,83404,118685,83404,262112.9091,118684.6,83404
4/1/18,284022.3333,127001.75,85515.8,127002,85516,284022.3333,127001.75,85515.8
5/1/18,291747,111373.4,84873,116301,86231,291747,111373.4,84873
6/1/18,291024.5714,119846.8,98296,119847,98296,291024.5714,119846.8,98296
7/1/18,281680.1429,108609.4,79581.6,NA,NA,281680.1429,108609.4,79581.6
8/1/18,275404.7391,98026.75,79257.5,NA,NA,275404.7391,98026.75,79257.5
9/1/18,289028.6842,107847.8333,80417.4,NA,NA,289028.6842,107847.8333,80417.4
10/1/18,295574.1304,100914.75,78066.75,NA,NA,295574.1304,100914.75,78066.75
11/1/18,282558.75,107791.6667,88760.5,111519,113625,282558.75,107791.6667,88760.5
12/1/18,258210.2,120760,92490.8,131000,88669,258210.2,120760,92490.8
1/1/19,272332.1429,85226.66667,62358.75,NA,NA,272332.1429,85226.66667,62358.75
2/1/19,277792.4737,97840.6,69546,NA,NA,277792.4737,97840.6,69546
3/1/19,281513.381,105389.8,69639.6,NA,NA,281513.381,105389.8,69639.6
4/1/19,285912.2273,113327,79807.5,NA,NA,285912.2273,113327,79807.5
5/1/19,289402.0455,110357.4,80168.25,NA,NA,289402.0455,110357.4,80168.25
6/1/19,NA,NA,NA,NA,NA,292062,113275.4,90076.2
7/1/19,NA,NA,NA,NA,NA,288156.9091,104018.6,79417.5
8/1/19,NA,NA,NA,NA,NA,281487,110713.2,83349.5
9/1/19,NA,NA,NA,NA,NA,298519,107637.6,90331.8
10/1/19,NA,NA,NA,NA,NA,294025.2609,116127.5,77290.75
11/1/19,NA,NA,NA,NA,NA,279793.9,103105.1667,77075.75
12/1/19,NA,NA,NA,NA,NA,257948,117357.6,89895.4
1/1/20,NA,NA,NA,NA,NA,277230.0476,88876.83333,67356.75
2/1/20,NA,NA,NA,NA,NA,282356.0526,96909.66667,70473.25
3/1/20,NA,NA,NA,NA,NA,NA,NA,NA
4/1/20,NA,NA,NA,NA,NA,NA,NA,NA
5/1/20,NA,NA,NA,NA,NA,NA,NA,NA
6/1/20,NA,NA,NA,NA,NA,NA,NA,NA
7/1/20,NA,NA,NA,NA,NA,NA,NA,NA
8/1/20,NA,NA,NA,NA,NA,NA,NA,NA
9/1/20,NA,NA,NA,NA,NA,NA,NA,NA
10/1/20,NA,NA,NA,NA,NA,NA,NA,NA
11/1/20,NA,NA,NA,NA,NA,NA,NA,NA
12/1/20,NA,NA,NA,NA,NA,NA,NA,NA
1/1/21,NA,NA,NA,NA,NA,NA,NA,NA
2/1/21,NA,NA,NA,NA,NA,NA,NA,NA
3/1/21,NA,NA,NA,NA,NA,NA,NA,NA
4/1/21,NA,NA,NA,NA,NA,NA,NA,NA
5/1/21,NA,NA,NA,NA,NA,NA,NA,NA
6/1/21,NA,NA,NA,NA,NA,NA,NA,NA
7/1/21,NA,NA,NA,NA,NA,NA,NA,NA
8/1/21,NA,NA,NA,NA,NA,NA,NA,NA
9/1/21,NA,NA,NA,NA,NA,NA,NA,NA
10/1/21,NA,NA,NA,NA,NA,NA,NA,NA
11/1/21,NA,NA,NA,NA,NA,NA,NA,NA
12/1/21,NA,NA,NA,NA,NA,NA,NA,NA
1/1/22,NA,NA,NA,NA,NA,NA,NA,NA
2/1/22,NA,NA,NA,NA,NA,NA,NA,NA
3/1/22,NA,NA,NA,NA,NA,NA,NA,NA
4/1/22,NA,NA,NA,NA,NA,NA,NA,NA
5/1/22,NA,NA,NA,NA,NA,NA,NA,NA
6/1/22,NA,NA,NA,NA,NA,NA,NA,NA
7/1/22,NA,NA,NA,NA,NA,NA,NA,NA
8/1/22,NA,NA,NA,NA,NA,NA,NA,NA
9/1/22,NA,NA,NA,NA,NA,NA,NA,NA
10/1/22,NA,NA,NA,NA,NA,NA,NA,NA
11/1/22,NA,NA,NA,NA,NA,NA,NA,NA
12/1/22,NA,NA,NA,NA,NA,NA,NA,NA
1/1/23,NA,NA,NA,NA,NA,NA,NA,NA
2/1/23,NA,NA,NA,NA,NA,NA,NA,NA
3/1/23,NA,NA,NA,NA,NA,NA,NA,NA
4/1/23,NA,NA,NA,NA,NA,NA,NA,NA
5/1/23,NA,NA,NA,NA,NA,NA,NA,NA
6/1/23,NA,NA,NA,NA,NA,NA,NA,NA
7/1/23,NA,NA,NA,NA,NA,NA,NA,NA
8/1/23,NA,NA,NA,NA,NA,NA,NA,NA
9/1/23,NA,NA,NA,NA,NA,NA,NA,NA
10/1/23,NA,NA,NA,NA,NA,NA,NA,NA
11/1/23,NA,NA,NA,NA,NA,NA,NA,NA
12/1/23,NA,NA,NA,NA,NA,NA,NA,NA
1/1/24,NA,NA,NA,NA,NA,NA,NA,NA
2/1/24,NA,NA,NA,NA,NA,NA,NA,NA
3/1/24,NA,NA,NA,NA,NA,NA,NA,NA
4/1/24,NA,NA,NA,NA,NA,NA,NA,NA
5/1/24,NA,NA,NA,NA,NA,NA,NA,NA
6/1/24,NA,NA,NA,NA,NA,NA,NA,NA
7/1/24,NA,NA,NA,NA,NA,NA,NA,NA
8/1/24,NA,NA,NA,NA,NA,NA,NA,NA
9/1/24,NA,NA,NA,NA,NA,NA,NA,NA
10/1/24,NA,NA,NA,NA,NA,NA,NA,NA
11/1/24,NA,NA,NA,NA,NA,NA,NA,NA
12/1/24,NA,NA,NA,NA,NA,NA,NA,NA
1/1/25,NA,NA,NA,NA,NA,NA,NA,NA
2/1/25,NA,NA,NA,NA,NA,NA,NA,NA
3/1/25,NA,NA,NA,NA,NA,NA,NA,NA
4/1/25,NA,NA,NA,NA,NA,NA,NA,NA
5/1/25,NA,NA,NA,NA,NA,NA,NA,NA
6/1/25,NA,NA,NA,NA,NA,NA,NA,NA
7/1/25,NA,NA,NA,NA,NA,NA,NA,NA
8/1/25,NA,NA,NA,NA,NA,NA,NA,NA
9/1/25,NA,NA,NA,NA,NA,NA,NA,NA
10/1/25,NA,NA,NA,NA,NA,NA,NA,NA
11/1/25,NA,NA,NA,NA,NA,NA,NA,NA
12/1/25,NA,NA,NA,NA,NA,NA,NA,NA
1/1/26,NA,NA,NA,NA,NA,NA,NA,NA
2/1/26,NA,NA,NA,NA,NA,NA,NA,NA
3/1/26,NA,NA,NA,NA,NA,NA,NA,NA
4/1/26,NA,NA,NA,NA,NA,NA,NA,NA
5/1/26,NA,NA,NA,NA,NA,NA,NA,NA
6/1/26,NA,NA,NA,NA,NA,NA,NA,NA
7/1/26,NA,NA,NA,NA,NA,NA,NA,NA
8/1/26,NA,NA,NA,NA,NA,NA,NA,NA
9/1/26,NA,NA,NA,NA,NA,NA,NA,NA
10/1/26,NA,NA,NA,NA,NA,NA,NA,NA
11/1/26,NA,NA,NA,NA,NA,NA,NA,NA
12/1/26,NA,NA,NA,NA,NA,NA,NA,NA
1/1/27,NA,NA,NA,NA,NA,NA,NA,NA
2/1/27,NA,NA,NA,NA,NA,NA,NA,NA
3/1/27,NA,NA,NA,NA,NA,NA,NA,NA
4/1/27,NA,NA,NA,NA,NA,NA,NA,NA
5/1/27,NA,NA,NA,NA,NA,NA,NA,NA
6/1/27,NA,NA,NA,NA,NA,NA,NA,NA
7/1/27,NA,NA,NA,NA,NA,NA,NA,NA
8/1/27,NA,NA,NA,NA,NA,NA,NA,NA
9/1/27,NA,NA,NA,NA,NA,NA,NA,NA
10/1/27,NA,NA,NA,NA,NA,NA,NA,NA
11/1/27,NA,NA,NA,NA,NA,NA,NA,NA
