year,month,avg_wkdayholminor_tstile,avg_satholmajor_tstile,avg_sun_tstile,num_wkdayholminor,num_satholmajor,num_sun,total_days
2000,1,232710,85325.66667,60462,20,6,5,31
2000,2,244019,94431.8,65227,20,5,4,29
2000,3,247544,99765,68909,23,4,4,31
2000,4,245914,100145,67410,20,5,5,30
2000,5,257985,92609.4,75643,22,5,4,31
2000,6,260820,102604,77873,22,4,4,30
2000,7,250338,105842,72115,20,6,5,31
2000,8,253989,102662,76739,23,4,4,31
2000,9,267337,102789.5,80405,20,6,4,30
2000,10,267080.9545,112181,78463,22,4,5,31
2000,11,266352.3132,112571.4559,72218,20,6,4,30
2000,12,256185,91876.83333,74820,20,6,5,31
2001,1,258328,93508,64854,21,6,4,31
2001,2,259913,99738.8,64644,19,5,4,28
2001,3,260170,108856,71413,22,5,4,31
2001,4,259015,105199,72270,21,4,5,30
2001,5,260982,94160.6,76338,22,5,4,31
2001,6,262492,95778,78275,21,5,4,30
2001,7,254760,100510,72905,21,5,5,31
2001,8,250885,97968,74795,23,4,4,31
2001,9,202934,93006.16667,72466,19,6,5,30
2001,10,208724.5652,89945,66140,23,4,4,31
2001,11,196112.1782,80549.23924,63770,20,6,4,30
2001,12,178241,89199.83333,66571,20,6,5,31
2002,1,181507,75046.66667,54022,21,6,4,31
2002,2,179839,82211.4,57610,19,5,4,28
2002,3,177386,89899,57979,21,5,5,31
2002,4,182462,86839,60076,22,4,4,30
2002,5,176503,77315.2,62811,22,5,4,31
2002,6,175940,83420,66756,20,5,5,30
2002,7,169371,76503,60934,22,5,4,31
2002,8,168532,78132,64622,22,5,4,31
2002,9,176328,83911.8,63358,20,5,5,30
2002,10,168429.5652,80731,63646,23,4,4,31
2002,11,167672.483,82316.11755,61844,19,7,4,30
2002,12,157958,88170,67300,21,5,5,31
2003,1,160170,71655.33333,51824,21,6,4,31
2003,2,160867,62116.2,52513,19,5,4,28
2003,3,160269,84040,57064,21,5,5,31
2003,4,157178,76129,59661,22,4,4,30
2003,5,157661,70609.66667,59529,21,6,4,31
2003,6,157628,75878,63435,21,4,5,30
2003,7,159115.5455,78291.4,59233,22,5,4,31
2003,8,144234.4286,73522.4,60693,21,5,5,31
2003,9,159563.1905,76001,63114.75,21,5,4,30
2003,10,159225.3043,81679,60430,23,4,4,31
2003,11,161795.4444,88218.71429,62725,18,7,5,30
2003,12,172311.0909,86788.2,62275.75,22,5,4,31
2004,1,177525.4,75804,49634,20,7,4,31
2004,2,191287.4211,87300,60970,19,5,5,29
2004,3,189024.1304,91208,64254,23,4,4,31
2004,4,190263,96222,64828.75,22,4,4,30
2004,5,194556,85723,67675,20,6,5,31
2004,6,199902,90659,74653,22,4,4,30
2004,7,195774.0476,84863.66667,68117,21,6,4,31
2004,8,192886,86926,69522,22,4,5,31
2004,9,200209,84600.4,71098,21,5,4,30
2004,10,198391.8571,90672,69064,21,5,5,31
2004,11,195030.15,91410.66667,64852,20,6,4,30
2004,12,199264,92326.33333,71552,21,6,4,31
2005,1,191490.35,74210.5,53086.6,20,6,5,31
2005,2,196499,83408.8,65767,19,5,4,28
2005,3,193516,89088,57685,23,4,4,31
2005,4,208759.4762,86284,64892,21,5,4,30
2005,5,206201,88679.2,70702,21,5,5,31
2005,6,211153.3182,94610.25,76908,22,4,4,30
2005,7,207674,92257.33333,73437.8,20,6,5,31
2005,8,202986.8261,87189.5,65926.5,23,4,4,31
2005,9,211369.8095,90114.6,74779,21,5,4,30
2005,10,210197.619,90173,70018,21,5,5,31
2005,11,213309.3,92866.83333,70244.25,20,6,4,30
2005,12,216012.5714,89367,62640,21,6,4,31
2006,1,212746,83670.33333,60693,20,6,5,31
2006,2,219429,89881.8,56117,19,5,4,28
2006,3,221795.8261,103938.75,67545,23,4,4,31
2006,4,220328,97400.6,73620,20,5,5,30
2006,5,227054.0909,100293.4,80740,22,5,4,31
2006,6,231531.2727,95307,81910,22,4,4,30
2006,7,225172.25,96554.16667,76882,20,6,5,31
2006,8,224921.6522,100514,75649,23,4,4,31
2006,9,233170.05,98325.16667,84260,20,6,4,30
2006,10,235527.6818,100677,78676,22,4,5,31
2006,11,237786.4,108317.1667,78996.25,20,6,4,30
2006,12,227508.75,103541.3333,89930,20,6,5,31
2007,1,229699,94339.33333,68644,21,6,4,31
2007,2,229594,93647.4,67784,19,5,4,28
2007,3,235968,109374.8,73284,22,5,4,31
2007,4,235043.4286,111836,71894,21,4,5,30
2007,5,244851.3182,103857.2,84684,22,5,4,31
2007,6,249602.6667,111655,89376,21,5,4,30
2007,7,245347.7143,107282.4,81560,21,5,5,31
2007,8,241628.1739,110079,84844,23,4,4,31
2007,9,254124,109146.1667,89869,19,6,5,30
2007,10,253604.7391,113290,87586,23,4,4,31
