"","man_hud","cpi","pop_hudson","man_hud_COVID","month_"
"Jan 1996",2207.009856,165.374,582.4916109,2207.009856,1996-01-01
"Feb 1996",2218.60620712919,165.785457946674,583.044037990292,2218.60743004161,1996-02-01
"Mar 1996",2226.26235448723,166.140269057785,583.564231429799,2226.26344722681,1996-03-01
"Apr 1996",2230.889663,166.4551,584.0658953,2230.889663,1996-04-01
"May 1996",2233.48090815915,166.747266385173,584.564575556096,2233.47923860965,1996-05-01
"Jun 1996",2235.35450771911,167.036679605909,585.083185648165,2235.35095852018,1996-06-01
"Jul 1996",2237.91029,167.3439,585.6464809,2237.905013,1996-07-01
"Aug 1996",2242.14103049345,167.6862431793,586.270007266803,2242.13456329756,1996-08-01
"Sep 1996",2247.41129337709,168.068045851913,586.932473229396,2247.4046545814,1996-09-01
"Oct 1996",2252.67859,168.4904,587.6033779,2252.673303,1996-10-01
"Nov 1996",2257.15179257072,168.944142379106,588.258532769281,2257.14960153341,1996-11-01
"Dec 1996",2261.04521673551,169.379088838293,588.898998841663,2261.0469504876,1996-12-01
"Jan 1997",2264.824539,169.7348,589.5321495,2264.829827,1997-01-01
"Feb 1997",2268.90509592734,169.97150211909,590.165800730142,2268.91249982805,1997-02-01
"Mar 1997",2273.50086431052,170.132083980103,590.809538929883,2273.50840420899,1997-03-01
"Apr 1997",2278.775481,170.2801,591.4733931,2278.780767,1997-04-01
"May 1997",2284.78633501621,170.470512107496,592.158052199036,2284.78710841365,1997-05-01
"Jun 1997",2291.16582405946,170.723912278332,592.826845016585,2291.16212208389,1997-06-01
"Jul 1997",2297.440098,171.0523,593.4337603,2297.434795,1997-07-01
"Aug 1997",2303.24753845225,171.450890191665,593.947622466304,2303.24522766548,1997-08-01
"Sep 1997",2308.67545400721,171.847759499164,594.396598611187,2308.67797464066,1997-09-01
"Oct 1997",2313.923385,172.1542,594.8236915,2313.928704,1997-10-01
"Nov 1997",2319.18259198958,172.312056755472,595.263063487597,2319.18598407254,1997-11-01
"Dec 1997",2324.61121643023,172.385386762052,595.713515286818,2324.60998420535,1997-12-01
"Jan 1998",2330.35912,172.4688,596.1650072,2330.353774,1998-01-01
"Feb 1998",2336.57366903385,172.634890193852,596.609615498121,2336.56708219249,1998-02-01
"Mar 1998",2343.39224849413,172.868186045223,597.047880326727,2343.38627405648,1998-03-01
"Apr 1998",2350.949748,173.1312,597.4824578,2350.944374,1998-04-01
"May 1998",2359.11428328239,173.395619506157,597.916584401397,2359.10825800933,1998-05-01
"Jun 1998",2366.68687451921,173.669832020019,598.35581809146,2366.68020838358,1998-06-01
"Jul 1998",2372.201768,173.9714,598.8062972,2372.196359,1998-07-01
"Aug 1998",2374.86960828098,174.304054003742,599.272151040733,2374.86838165904,1998-08-01
"Sep 1998",2376.60663298463,174.616196985812,599.749472862989,2376.61009985368,1998-09-01
"Oct 1998",2380.005478,174.8424,600.2323469,2380.010875,1998-10-01
"Nov 1998",2386.71071851959,174.947220034428,600.715534631966,2386.71321968782,1998-11-01
"Dec 1998",2394.57468694971,175.015157814514,601.196506526955,2394.57225120174,1998-12-01
"Jan 1999",2400.501655,175.1607,601.6734103,2400.496238,1999-01-01
"Feb 1999",2402.46530375172,175.465473265953,602.145409953624,2402.46167547855,1999-02-01
"Mar 1999",2402.71695177213,175.879664348728,602.615734640303,2402.71796678385,1999-03-01
"Apr 1999",2404.577327,176.3206,603.0886298,2404.582742,1999-04-01
"May 1999",2410.32123391794,176.725235049907,603.568449072056,2410.328421435,1999-05-01
"Jun 1999",2418.039783184,177.109036642429,604.059978893316,2418.0465862925,1999-06-01
"Jul 1999",2424.778162,177.5071,604.5681139,2424.783608,1999-07-01
"Aug 1999",2428.58882776167,177.947605052934,605.095313850743,2428.59285481846,1999-08-01
"Sep 1999",2431.55331864005,178.431070563041,605.634298993842,2431.55568234246,1999-09-01
"Oct 1999",2436.760443,178.9511,606.1753547,2436.760443,1999-10-01
"Nov 1999",2446.39814022055,179.494029923538,606.71075247682,2446.39500629115,1999-11-01
"Dec 1999",2459.05087373733,180.017129253558,607.240708379468,2459.04531000434,1999-12-01
"Jan 2000",2472.402238,180.4704,607.7674246,2472.396809,2000-01-01
"Feb 2000",2484.37791820792,180.826423401058,608.291023371605,2484.37617890579,2000-02-01
"Mar 2000",2493.87196255884,181.148097607915,608.803307091993,2493.874978418,2000-03-01
"Apr 2000",2500.02051,181.5209,609.2939982,2500.025987,2000-04-01
"May 2000",2502.59269154029,182.008057953708,609.758967081203,2502.59605012269,2000-05-01
"Jun 2000",2503.88960643477,182.583798833301,610.21867590812,2503.88827728667,2000-06-01
"Jul 2000",2506.845346,183.2001,610.6997348,2506.839844,2000-07-01
"Aug 2000",2513.37310759384,183.807607747069,611.221504881359,2513.36623804788,2000-08-01
"Sep 2000",2521.30251273915,184.35164409592,611.774351297754,2521.29619632422,2000-09-01
"Oct 2000",2527.442289,184.7762,612.3413902,2527.436768,2000-10-01
"Nov 2000",2529.26385489914,185.056688835792,612.907229874841,2529.25817372279,2000-11-01
"Dec 2000",2526.88939279383,185.29421367191,613.46244715272,2526.88332004611,2000-12-01
"Jan 2001",2521.103776,185.6213,613.999111,2521.098285,2001-01-01
"Feb 2001",2512.9451438837,186.123551724578,614.517039197051,2512.9418889128,2001-02-01
"Mar 2001",2504.46470001145,186.698886401629,615.047044780257,2504.46392130612,2001-03-01
"Apr 2001",2497.966914,187.1983,615.6276896,2497.966914,2001-04-01
"May 2001",2494.40590238093,187.507667228857,616.265330033248,2494.40385284828,2001-05-01
"Jun 2001",2489.33436934552,187.652377758615,616.837500563292,2489.32953984046,2001-06-01
"Jul 2001",2476.954666,187.6927,617.1895302,2476.949231,2001-07-01
"Aug 2001",2453.8176110741,187.698746026658,617.220477221807,2453.81555528673,2001-08-01
"Sep 2001",2425.86789379159,187.780002563912,617.044316981392,2425.87063340605,2001-09-01
