"","man_hud","cpi","pop_hudson","man_hud_covid","cpi_2020_06","regional_emp","manhattan_baseline","hudson_baseline","region_pess","region_opt","man_hud_pess","man_hud_opt","cpi_2020_08","month"
"Jan 2000",2472.402238,180.4704,607.7674246,2472.396809,170.1,8143.134,2218.476594,253.9441459,8143.134,8143.134,2472.42074,2472.42074,170.1,2000-01-01
"Feb 2000",2486.59207852505,180.710161809223,608.315282071436,2486.59506478606,170.471852963371,8178.75466845611,2231.61613046955,254.9872600347,8178.75466845611,8178.75466845611,2486.60339098689,2486.60339098689,170.472113896167,2000-02-01
"Mar 2000",2495.37143409296,181.069363043792,608.819735545511,2495.37765019348,170.923198642384,8198.38855734503,2239.41801143253,255.960601838406,8198.38855734503,8198.38855734503,2495.37861378937,2495.37861378937,170.923544760366,2000-03-01
"Apr 2000",2500.02051,181.5209,609.2939982,2500.025987,171.433,8205.95,2243.205675,256.8203887,8205.95,8205.95,2500.026064,2500.026064,171.4333,2000-04-01
"May 2000",2501.99940907141,182.039210153351,609.752466982174,2502.00150144297,171.976413785327,8205.6967377583,2244.45708660012,257.54819005204,8205.6967377583,8205.6967377583,2502.00527658151,2502.00527658151,171.976587539309,2000-05-01
"Jun 2000",2503.48782424812,182.604895696174,610.214273917267,2503.48563759794,172.513371892051,8203.26014397273,2245.26832092905,258.226983501747,8203.26014397273,8203.26014397273,2503.49530397708,2503.49530397708,172.513417369848,2000-06-01
"Jul 2000",2506.845346,183.2001,610.6997348,2506.839844,173,8204.615,2247.88998,258.9650987,8204.615,8204.615,2506.855078,2506.855078,173,2000-07-01
"Aug 2000",2513.53207715226,183.799260540332,611.223246577644,2513.52554688647,173.411454858282,8214.01904717732,2253.80002924108,259.744105079356,8214.01904717732,8214.01904717732,2513.54413361298,2513.54413361298,173.411543354002,2000-08-01
"Sep 2000",2521.4101699516,184.34599120855,611.775530807648,2521.40408330365,173.799017493117,8228.86186676407,2261.38588774016,260.038531199054,8228.86186676407,8228.86186676407,2521.4244183764,2521.4244183764,173.799245019503,2000-09-01
"Oct 2000",2527.442289,184.7762,612.3413902,2527.436768,174.233,8244.816,2268.262338,259.1961454,8244.816,8244.816,2527.458483,2527.458483,174.2333,2000-10-01
"Nov 2000",2529.22125913434,185.058925463096,612.906763188728,2529.21548704815,174.760877892654,8257.94788834717,2272.35933273185,256.879607852757,8257.94788834717,8257.94788834717,2529.23894026284,2529.23894026284,174.761105711346,2000-11-01
"Dec 2000",2526.86054613069,185.295728358515,613.462131103997,2526.8544118171,175.338780357705,8265.89957415624,2272.8675054807,254.01114604648,8265.89957415624,8265.89957415624,2526.87865122104,2526.87865122104,175.338869218808,2000-12-01
"Jan 2001",2521.103776,185.6213,613.999111,2521.098285,175.9,8266.707,2269.29266,251.8278793,8266.707,8266.707,2521.120539,2521.120539,175.9,2001-01-01
"Feb 2001",2512.95655738447,186.122952422098,614.517164245218,2512.9533267728,176.389552089617,8259.74684387842,2261.75801472041,251.211946313329,8259.74684387842,8259.74684387842,2512.9699607801,2512.9699607801,176.389596763574,2001-02-01
"Mar 2001",2504.47242945154,186.698480542576,615.047129465257,2504.47166724274,176.799342557546,8249.75872549988,2252.85644678146,251.625563311314,8249.75872549988,8249.75872549988,2504.48200996164,2504.48200996164,176.799515142307,2001-03-01
"Apr 2001",2497.966914,187.1983,615.6276896,2497.966914,177.133,8242.823,2245.798248,252.1759659,8242.823,8242.823,2497.974214,2497.974214,177.1333,2001-04-01
"May 2001",2494.40284414262,187.507827811473,616.265296526693,2494.40078808293,177.391173008134,8242.10232873179,2242.20134197915,252.209452319855,8242.10232873179,8242.10232873179,2494.4107947279,2494.4107947279,177.39153316028,2001-05-01
"Jun 2001",2489.33229824829,187.652486508221,616.837477872015,2489.327464323,177.562590152853,8239.08859791827,2237.31417946749,252.028571349006,8239.08859791827,8239.08859791827,2489.3427514879,2489.3427514879,177.562944286042,2001-06-01
"Jul 2001",2476.954666,187.6927,617.1895302,2476.949231,177.633,8222.356,2224.792843,252.1749344,8222.356,8222.356,2476.967778,2476.967778,177.6333,2001-07-01
"Aug 2001",2453.81843052659,187.698702998676,617.220486199861,2453.81637648813,177.603126248217,8185.09717452782,2200.79797380747,253.035098514658,8185.09717452782,8185.09717452782,2453.83307241944,2453.83307241944,177.603340965675,2001-08-01
"Sep 2001",2425.86844874042,187.779973424543,617.044323061502,2425.87118953928,177.53359312734,8138.97854949363,2171.50844790406,254.375403251922,8138.97854949363,8138.97854949363,2425.88385064227,2425.88385064227,177.533704009821,2001-09-01
"Oct 2001",2401.398671,188.0558,616.8287541,2401.403959,177.5,8100.285,2145.6077,255.8071338,8100.285,8100.285,2401.414833,2401.414833,177.5,2001-10-01
"Nov 2001",2386.6694168993,188.597767601229,616.704373318307,2386.67252563131,177.566692369367,8081.04719537931,2129.73249371699,256.954304577064,8081.04719537931,8081.04719537931,2386.68679781666,2386.68679781666,177.566584458501,2001-11-01
"Dec 2001",2379.80648297511,189.286645719535,616.653297470868,2379.8049378531,177.753000300752,8076.27898188483,2122.33290832357,257.491846921089,8076.27898188483,8076.27898188483,2379.82475538736,2379.82475538736,177.752791526525,2001-12-01
"Jan 2002",2376.902035,189.9555,616.620524,2376.896796,178.067,8076.74,2119.812352,257.1074214,8076.74,8076.74,2376.919774,2376.919774,178.0667,2002-01-01
"Feb 2002",2374.65412906148,190.477930300109,616.56190424543,2374.64870980149,178.502363533574,8074.87245136241,2119.00773891721,255.66151197338,8074.87245136241,8074.87245136241,2374.66925146212,2374.66925146212,178.501991570691,2002-02-01
"Mar 2002",2372.18438250723,190.889673326948,616.476705136509,2372.18132656678,178.995146410396,8069.84878222628,2118.49000720902,253.705896167425,8069.84878222628,8069.84878222628,2372.19590366009,2372.19590366009,178.99475951371,2002-03-01
"Apr 2002",2369.220303,191.267,616.3750475,2369.220303,179.467,8062.524,2117.263601,251.9651749,8062.524,8062.524,2369.228776,2369.228776,179.4667,2002-04-01
"May 2002",2365.59904789185,191.668522309443,616.267616774049,2365.60132905163,179.856594237077,8053.93699917106,2114.61390046605,250.992374340533,8053.93699917106,8053.93699917106,2365.60627507563,2365.60627507563,179.856501110583,2002-05-01
"Jun 2002",2361.59637329224,192.082216528229,616.167356842354,2361.60022765754,180.170673316928,8045.86222254337,2110.95002998848,250.654221664761,8045.86222254337,8045.86222254337,2361.60425223153,2361.60425223153,180.170818566784,2002-06-01
"Jul 2002",2357.597685,192.4784,616.0877762,2357.602855,180.433,8040.258,2106.96205,250.6458693,8040.258,8040.258,2357.60792,2357.60792,180.4333,2002-07-01
"Aug 2002",2353.92755081557,192.85124342508,616.037554573188,2353.93397291793,180.680407666263,8038.48351491633,2103.24695203344,250.694435560788,8038.48351491633,8038.48351491633,2353.94138801316,2353.94138801316,180.680696579566,2002-08-01
"Sep 2002",2350.667186546,193.290330930508,616.006056612592,2350.6739658771,181.002012173748,8039.50136463724,2100.02945202223,250.654902310566,8039.50136463724,8039.50136463724,2350.68435430265,2350.68435430265,181.002173626561,2002-09-01
"Oct 2002",2347.83697,193.9091,615.9778182,2347.842124,181.5,8041.675,2097.441197,250.4142173,8041.675,8041.675,2347.855414,2347.855414,181.5,2002-10-01
"Nov 2002",2345.30245984589,194.755522508754,615.937533344309,2345.30356238777,182.213330653425,8043.39997820067,2095.42184884467,249.897170368167,8043.39997820067,8043.39997820067,2345.31901905693,2345.31901905693,182.213201460041,2002-11-01
"Dec 2002",2342.30993819042,195.61570789789,615.870528562835,2342.30669605626,182.928055765861,8043.20028187061,2093.14312881148,249.179919707787,8043.20028187061,8043.20028187061,2342.32304870599,2342.32304870599,182.927831371417,2002-12-01
"Jan 2003",2337.950868,196.2103,615.7622885,2337.945765,183.367,8039.632,2089.584773,248.3764656,8039.632,8039.632,2337.961239,2337.961239,183.3667,2003-01-01
"Feb 2003",2331.80157428237,196.363162836196,615.609431434761,2331.79887386433,183.357047497814,8032.0796833921,2084.23545125456,247.576101470252,8032.0796833921,8032.0796833921,2331.81155298138,2331.81155298138,183.356686469157,2003-02-01
"Mar 2003",2325.37783021081,196.311041181638,615.453110184217,2325.37958589784,183.141320318367,8023.24173010251,2078.61956839851,246.769293321244,8023.24173010251,8023.24173010251,2325.38886165114,2325.38886165114,183.140945332216,2003-03-01
"Apr 2003",2320.680271,196.3939,615.3456112,2320.685329,183.067,8016.645,2074.770463,245.9218003,8016.645,8016.645,2320.692263,2320.692263,183.0667,2003-04-01
"May 2003",2319.17796991353,196.86058540572,615.323036994424,2319.18285915494,183.380108984949,8014.91895489763,2074.15534750749,245.034331269349,8014.91895489763,8014.91895489763,2319.18967853611,2319.18967853611,183.379993404072,2003-05-01
