Month,man_hud,cpi,pop_hudson,man_hud_COVID
1/1/96,2207.009856,165.374,582.4916109,2207.009856
4/1/96,2230.889663,166.4551,584.0658953,2230.889663
7/1/96,2237.91029,167.3439,585.6464809,2237.905013
10/1/96,2252.67859,168.4904,587.6033779,2252.673303
1/1/97,2264.824539,169.7348,589.5321495,2264.829827
4/1/97,2278.775481,170.2801,591.4733931,2278.780767
7/1/97,2297.440098,171.0523,593.4337603,2297.434795
10/1/97,2313.923385,172.1542,594.8236915,2313.928704
1/1/98,2330.35912,172.4688,596.1650072,2330.353774
4/1/98,2350.949748,173.1312,597.4824578,2350.944374
7/1/98,2372.201768,173.9714,598.8062972,2372.196359
10/1/98,2380.005478,174.8424,600.2323469,2380.010875
1/1/99,2400.501655,175.1607,601.6734103,2400.496238
4/1/99,2404.577327,176.3206,603.0886298,2404.582742
7/1/99,2424.778162,177.5071,604.5681139,2424.783608
10/1/99,2436.760443,178.9511,606.1753547,2436.760443
1/1/00,2472.402238,180.4704,607.7674246,2472.396809
4/1/00,2500.02051,181.5209,609.2939982,2500.025987
7/1/00,2506.845346,183.2001,610.6997348,2506.839844
10/1/00,2527.442289,184.7762,612.3413902,2527.436768
1/1/01,2521.103776,185.6213,613.999111,2521.098285
4/1/01,2497.966914,187.1983,615.6276896,2497.966914
7/1/01,2476.954666,187.6927,617.1895302,2476.949231
10/1/01,2401.398671,188.0558,616.8287541,2401.403959
1/1/02,2376.902035,189.9555,616.620524,2376.896796
4/1/02,2369.220303,191.267,616.3750475,2369.220303
7/1/02,2357.597685,192.4784,616.0877762,2357.602855
10/1/02,2347.83697,193.9091,615.9778182,2347.842124
1/1/03,2337.950868,196.2103,615.7622885,2337.945765
4/1/03,2320.680271,196.3939,615.3456112,2320.685329
7/1/03,2322.598882,198.3918,615.401946,2322.598882
10/1/03,2325.681223,200.1587,615.3905631,2325.681223
1/1/04,2315.833528,201.8086,615.2786374,2315.833528
4/1/04,2328.770636,204.2901,615.2286394,2328.770636
7/1/04,2329.777922,205.1582,615.1376661,2329.782931
10/1/04,2332.085817,207.7542,615.1443167,2332.08082
1/1/05,2342.900002,210.3664,615.1225524,2342.900002
4/1/05,2355.825754,210.8924,615.1561801,2355.830748
7/1/05,2368.838698,213.4229,615.2096303,2368.838698
10/1/05,2379.418876,216.09,614.8844103,2379.423882
1/1/06,2393.385797,217.6105,614.6615733,2393.380792
4/1/06,2406.074132,220.734,614.4009202,2406.079142
7/1/06,2415.378846,222.482,614.1191397,2415.373833
10/1/06,2424.144576,222.0459,614.1260395,2424.144576
1/1/07,2446.771998,224.0982,614.1808052,2446.771998
4/1/07,2457.164665,226.2738,614.1682413,2457.169719
7/1/07,2468.044743,227.4177,614.2001888,2468.049817
10/1/07,2480.400062,229.9279,615.6968478,2480.394975
1/1/08,2491.365688,232.3826,617.1876905,2491.3708
4/1/08,2492.875032,235.4112,618.6404253,2492.880157
