Month,man_hud,cpi,pop_hudson,man_hud_COVID,cpi_2020_06,regional_emp,manhattan_baseline,hudson_baseline,region_pess,region_opt,man_hud_pess,man_hud_opt,cpi_2020_08
1/1/00,2472.402238,180.4704,607.7674246,2472.396809,170.1,8143.134,2218.476594,253.9441459,8143.134,8143.134,2472.42074,2472.42074,170.1
4/1/00,2500.02051,181.5209,609.2939982,2500.025987,171.433,8205.95,2243.205675,256.8203887,8205.95,8205.95,2500.026064,2500.026064,171.4333
7/1/00,2506.845346,183.2001,610.6997348,2506.839844,173,8204.615,2247.88998,258.9650987,8204.615,8204.615,2506.855078,2506.855078,173
10/1/00,2527.442289,184.7762,612.3413902,2527.436768,174.233,8244.816,2268.262338,259.1961454,8244.816,8244.816,2527.458483,2527.458483,174.2333
1/1/01,2521.103776,185.6213,613.999111,2521.098285,175.9,8266.707,2269.29266,251.8278793,8266.707,8266.707,2521.120539,2521.120539,175.9
4/1/01,2497.966914,187.1983,615.6276896,2497.966914,177.133,8242.823,2245.798248,252.1759659,8242.823,8242.823,2497.974214,2497.974214,177.1333
7/1/01,2476.954666,187.6927,617.1895302,2476.949231,177.633,8222.356,2224.792843,252.1749344,8222.356,8222.356,2476.967778,2476.967778,177.6333
10/1/01,2401.398671,188.0558,616.8287541,2401.403959,177.5,8100.285,2145.6077,255.8071338,8100.285,8100.285,2401.414833,2401.414833,177.5
1/1/02,2376.902035,189.9555,616.620524,2376.896796,178.067,8076.74,2119.812352,257.1074214,8076.74,8076.74,2376.919774,2376.919774,178.0667
4/1/02,2369.220303,191.267,616.3750475,2369.220303,179.467,8062.524,2117.263601,251.9651749,8062.524,8062.524,2369.228776,2369.228776,179.4667
7/1/02,2357.597685,192.4784,616.0877762,2357.602855,180.433,8040.258,2106.96205,250.6458693,8040.258,8040.258,2357.60792,2357.60792,180.4333
10/1/02,2347.83697,193.9091,615.9778182,2347.842124,181.5,8041.675,2097.441197,250.4142173,8041.675,8041.675,2347.855414,2347.855414,181.5
1/1/03,2337.950868,196.2103,615.7622885,2337.945765,183.367,8039.632,2089.584773,248.3764656,8039.632,8039.632,2337.961239,2337.961239,183.3667
4/1/03,2320.680271,196.3939,615.3456112,2320.685329,183.067,8016.645,2074.770463,245.9218003,8016.645,8016.645,2320.692263,2320.692263,183.0667
7/1/03,2322.598882,198.3918,615.401946,2322.598882,184.433,8021.341,2078.871792,243.7364458,8021.341,8021.341,2322.608238,2322.608238,184.4333
10/1/03,2325.681223,200.1587,615.3905631,2325.681223,185.133,8030.15,2081.802687,243.8880129,8030.15,8030.15,2325.6907,2325.6907,185.1333
1/1/04,2315.833528,201.8086,615.2786374,2315.833528,186.7,8025.919,2072.136004,243.7114229,8025.919,8025.919,2315.847427,2315.847427,186.7
4/1/04,2328.770636,204.2901,615.2286394,2328.770636,188.167,8049.77,2085.534099,243.2518402,8049.77,8049.77,2328.785939,2328.785939,188.1667
7/1/04,2329.777922,205.1582,615.1376661,2329.782931,189.367,8065.869,2087.310033,242.4814812,8065.869,8065.869,2329.791515,2329.791515,189.3667
10/1/04,2332.085817,207.7542,615.1443167,2332.08082,191.4,8072.986,2088.472723,243.6254844,8072.986,8072.986,2332.098208,2332.098208,191.4
1/1/05,2342.900002,210.3664,615.1225524,2342.900002,192.367,8074.128,2095.016754,247.8916974,8074.128,8074.128,2342.908451,2342.908451,192.3667
4/1/05,2355.825754,210.8924,615.1561801,2355.830748,193.667,8109.444,2107.022189,248.8188438,8109.444,8109.444,2355.841033,2355.841033,193.6667
7/1/05,2368.838698,213.4229,615.2096303,2368.838698,196.6,8140.175,2119.733282,249.1159313,8140.175,8140.175,2368.849213,2368.849213,196.6
10/1/05,2379.418876,216.09,614.8844103,2379.423882,198.433,8145.072,2131.726229,247.7108243,8145.072,8145.072,2379.437054,2379.437054,198.4333
