Month,man_hud,cpi,pop_hudson,man_hud_COVID,cpi_2020_06,regional_emp,manhattan_baseline,hudson_baseline,region_pess,region_opt,man_hud_pess,man_hud_opt,cpi_2020_08,manhattan_base_2020_10,hudson_base_2020_10,pop_hudson_2020_10,cpi_2020_10,man_hud_2020_10,pop_hudson_2020_06
1/1/00,2472.402238,180.4704,607.7674246,2472.396809,170.1,8143.134,2218.476594,253.9441459,8143.134,8143.134,2472.42074,2472.42074,170.1,2219.794388,253.6028616,607.7674247,170.1,2473.39725,607.7674252
4/1/00,2500.02051,181.5209,609.2939982,2500.025987,171.433,8205.95,2243.205675,256.8203887,8205.95,8205.95,2500.026064,2500.026064,171.4333,2244.742816,256.519862,609.2939985,171.4333,2501.262678,609.2939982
7/1/00,2506.845346,183.2001,610.6997348,2506.839844,173,8204.615,2247.88998,258.9650987,8204.615,8204.615,2506.855078,2506.855078,173,2249.381462,258.8086825,610.6997495,173,2508.190145,610.699735
10/1/00,2527.442289,184.7762,612.3413902,2527.436768,174.233,8244.816,2268.262338,259.1961454,8244.816,8244.816,2527.458483,2527.458483,174.2333,2269.660038,258.8519702,612.341404,174.2333,2528.512008,612.3413889
1/1/01,2521.103776,185.6213,613.999111,2521.098285,175.9,8266.707,2269.29266,251.8278793,8266.707,8266.707,2521.120539,2521.120539,175.9,2268.996334,252.0513665,613.9991461,175.9,2521.047701,613.9991129
4/1/01,2497.966914,187.1983,615.6276896,2497.966914,177.133,8242.823,2245.798248,252.1759659,8242.823,8242.823,2497.974214,2497.974214,177.1333,2245.710219,252.5066736,615.6277185,177.1333,2498.216893,615.6276889
7/1/01,2476.954666,187.6927,617.1895302,2476.949231,177.633,8222.356,2224.792843,252.1749344,8222.356,8222.356,2476.967778,2476.967778,177.6333,2225.202331,252.6387889,617.1895503,177.6333,2477.84112,617.1895301
10/1/01,2401.398671,188.0558,616.8287541,2401.403959,177.5,8100.285,2145.6077,255.8071338,8100.285,8100.285,2401.414833,2401.414833,177.5,2145.559925,255.9641324,616.828746,177.5,2401.524057,616.8287572
1/1/02,2376.902035,189.9555,616.620524,2376.896796,178.067,8076.74,2119.812352,257.1074214,8076.74,8076.74,2376.919774,2376.919774,178.0667,2120.37277,257.0841482,616.6205094,178.0667,2377.456918,616.6205551
4/1/02,2369.220303,191.267,616.3750475,2369.220303,179.467,8062.524,2117.263601,251.9651749,8062.524,8062.524,2369.228776,2369.228776,179.4667,2118.119827,252.2052317,616.3750495,179.4667,2370.325059,616.3750465
7/1/02,2357.597685,192.4784,616.0877762,2357.602855,180.433,8040.258,2106.96205,250.6458693,8040.258,8040.258,2357.60792,2357.60792,180.4333,2107.077384,251.0438888,616.0877703,180.4333,2358.121273,616.0877762
10/1/02,2347.83697,193.9091,615.9778182,2347.842124,181.5,8041.675,2097.441197,250.4142173,8041.675,8041.675,2347.855414,2347.855414,181.5,2097.543533,250.3008319,615.9777995,181.5,2347.844365,615.9778216
1/1/03,2337.950868,196.2103,615.7622885,2337.945765,183.367,8039.632,2089.584773,248.3764656,8039.632,8039.632,2337.961239,2337.961239,183.3667,2090.671483,248.3004941,615.7622528,183.3667,2338.971977,615.762291
4/1/03,2320.680271,196.3939,615.3456112,2320.685329,183.067,8016.645,2074.770463,245.9218003,8016.645,8016.645,2320.692263,2320.692263,183.0667,2075.901755,246.0609293,615.3456105,183.0667,2321.962684,615.3456009
7/1/03,2322.598882,198.3918,615.401946,2322.598882,184.433,8021.341,2078.871792,243.7364458,8021.341,8021.341,2322.608238,2322.608238,184.4333,2079.686098,243.8922164,615.4019588,184.4333,2323.578314,615.4019449
10/1/03,2325.681223,200.1587,615.3905631,2325.681223,185.133,8030.15,2081.802687,243.8880129,8030.15,8030.15,2325.6907,2325.6907,185.1333,2082.994122,243.6957461,615.390576,185.1333,2326.689868,615.3905521
1/1/04,2315.833528,201.8086,615.2786374,2315.833528,186.7,8025.919,2072.136004,243.7114229,8025.919,8025.919,2315.847427,2315.847427,186.7,2073.468017,243.726295,615.278658,186.7,2317.194312,615.2786395
