month,real_fare,man_hud_KEEP,man_hud_opt,man_hud_pess,population_hud_opt,population_hud_pess,real_fare_q1_KEEP,pop_hudson_KEEP
1/1/00,1.503485778,2472.42074,2472.402238,2472.42074,607.7674125,607.7674125,1.560475441,607.7674246
2/1/00,1.493490305,2484.391829,2484.377918,2484.391829,608.2910144,608.2910144,1.55740307,608.2910234
3/1/00,1.485261708,2493.880902,2493.871963,2493.880902,608.803305,608.803305,1.554637508,608.8033071
4/1/00,1.486080485,2500.026064,2500.02051,2500.026064,609.2940014,609.2940014,1.551444638,609.2939982
5/1/00,1.486080485,2502.597863,2502.592692,2502.597863,609.75897,609.75897,1.547292082,609.7589671
6/1/00,1.481181319,2503.896615,2503.889606,2503.896615,610.2186756,610.2186756,1.542413011,610.2186759
7/1/00,1.474699125,2506.855078,2506.845346,2506.855078,610.6997325,610.6997325,1.537224199,610.6997348
8/1/00,1.472282906,2513.385351,2513.373108,2513.385351,611.2215048,611.2215048,1.532143476,611.2215049
9/1/00,1.461903471,2521.316887,2521.302513,2521.316887,611.7743553,611.7743553,1.527621998,611.7743513
10/1/00,1.46031961,2527.458483,2527.442289,2527.458483,612.3413967,612.3413967,1.524112017,612.3413902
11/1/00,1.46031961,2529.281486,2529.263855,2529.281486,612.9072349,612.9072349,1.521801934,612.9072299
12/1/00,1.463490771,2526.907464,2526.889393,2526.907464,613.4624491,613.4624491,1.519851167,613.4624472
1/1/01,1.457950243,2521.120539,2521.103776,2521.120539,613.9991116,613.9991116,1.517173013,613.999111
2/1/01,1.454803022,2512.958561,2512.945144,2512.958561,614.5170427,614.5170427,1.513078943,614.5170392
3/1/01,1.446217811,2504.47429,2504.4647,2504.47429,615.0470543,615.0470543,1.508416212,615.0470448
4/1/01,2.167001608,2497.974214,2497.966914,2497.974214,615.6277061,615.6277061,2.256588016,615.6276896
5/1/01,2.15890283,2494.413849,2494.405902,2494.413849,616.2653521,616.2653521,2.252864892,616.26533
6/1/01,2.1474376,2489.34482,2489.334369,2489.34482,616.8375233,616.8375233,2.251127566,616.8375006
7/1/01,2.153154952,2476.967778,2476.954666,2476.967778,617.189545,617.189545,2.250643954,617.1895302
8/1/01,2.149720893,2453.832254,2453.817611,2453.832254,617.2204742,617.2204742,2.250571458,617.2204772
9/1/01,2.150864362,2425.883296,2425.867894,2425.883296,617.044294,617.044294,2.249597586,617.044317
10/1/01,2.153154952,2401.414833,2401.398671,2401.414833,616.8287192,616.8287192,2.246298388,616.8287541
11/1/01,2.153154952,2386.687017,2386.669636,2386.687017,616.7043437,616.7043437,2.239843407,616.7043757
12/1/01,2.15890283,2379.824904,2379.806632,2379.824904,616.6532786,616.6532786,2.231691815,616.6532991
1/1/02,2.145159151,2376.919774,2376.902035,2376.919774,616.620514,616.620514,2.22383369,616.620524
2/1/02,2.129344392,2374.669193,2374.65407,2374.669193,616.5618962,616.5618962,2.217734269,616.5619036
3/1/02,2.115973312,2372.195864,2372.184343,2372.195864,616.476695,616.476695,2.212950698,616.4767047
4/1/02,2.108250782,2369.228776,2369.220303,2369.228776,616.3750366,616.3750366,2.208585069,616.3750475
5/1/02,2.11265674,2365.606291,2365.599064,2365.606291,616.2676099,616.2676099,2.203958361,616.2676169
6/1/02,2.111553525,2361.604263,2361.596384,2361.604263,616.1673562,616.1673562,2.199211615,616.167357
7/1/02,2.106054688,2357.60792,2357.597685,2357.60792,616.0877802,616.0877802,2.194684912,616.0877762
8/1/02,2.094057483,2353.941384,2353.927547,2353.941384,616.0375587,616.0375587,2.190441879,616.0375545
9/1/02,2.091890843,2350.684351,2350.667184,2350.684351,616.0060583,616.0060583,2.185465968,616.0060566
10/1/02,2.087570986,2347.855414,2347.83697,2347.855414,615.9778183,615.9778183,2.17849209,615.9778182
11/1/02,2.090809204,2345.31902,2345.302461,2345.31902,615.9375347,615.9375347,2.169024196,615.9375334
12/1/02,2.094057483,2342.323049,2342.309939,2342.323049,615.8705318,615.8705318,2.159486296,615.8705286
1/1/03,2.076848998,2337.961239,2337.950868,2337.961239,615.7622906,615.7622906,2.152942228,615.7622885
2/1/03,2.060970948,2331.811553,2331.801574,2331.811553,615.6094276,615.6094276,2.151266227,615.6094314
3/1/03,2.051560122,2325.388861,2325.37783,2325.388861,615.4531,615.4531,2.1518374,615.4531102
