"","month","week_avg","sat_avg","sun_avg","num_wkdayholminor","num_satholmajor","num_sun","weekdays","saturdays","sundays","dum_911_base","supersandy","summer_of_hell","end_close","mon","dummy_1","dummy_2","dummy_3","dummy_4","dummy_5","dummy_6","dummy_7","dummy_8","dummy_9","dummy_10","dummy_11","dummy_12","week","sat","sun"
"1",2019-09-01,297069.111504009,107832.828361842,85560.624048728,20,5,5,20,4,6,0,0,0,1,9,0,0,0,0,0,0,0,0,1,0,0,0,5941382.23008018,431331.313447367,513363.744292368
"2",2019-10-01,298801.301575336,114105.379966857,83080.6531344156,23,4,4,22,4,5,0,0,0,1,10,0,0,0,0,0,0,0,0,0,1,0,0,6573628.63465739,456421.519867428,415403.265672078
"3",2019-11-01,292963.225986224,107481.782665798,79396.1137824972,19,7,4,18,5,7,0,0,0,1,11,0,0,0,0,0,0,0,0,0,0,1,0,5273338.06775203,537408.913328991,555772.796477481
"4",2019-12-01,283423.062735364,108529.819106272,81619.2254937473,21,5,5,21,4,6,0,0,0,1,12,0,0,0,0,0,0,0,0,0,0,0,1,5951884.31744264,434119.27642509,489715.352962484
"5",2020-01-01,282290.864340963,93641.1728513101,65617.2231678224,21,6,4,21,4,6,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,5928108.15116022,374564.69140524,393703.339006934
"6",2020-02-01,287789.613516636,100833.700355632,71112.6767981743,19,6,4,19,5,5,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,5468002.65681609,504168.50177816,355563.383990872
"7",2020-03-01,290709.895772064,127398.152251883,84410.1931132535,22,4,5,22,4,5,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,6395617.70698541,509592.609007532,422050.965566268
"8",2020-04-01,296239.677010304,129694.615383517,90588.5144074469,22,4,4,22,4,4,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,6517272.89422668,518778.461534069,362354.057629788
"9",2020-05-01,298850.04361858,121739.904793218,95243.9067271747,20,6,5,20,5,6,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,5977000.8723716,608699.523966088,571463.440363048
"10",2020-06-01,301885.607532258,128976.548860212,100799.519436601,22,4,4,22,4,4,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,6641483.36570967,515906.195440847,403198.077746406
"11",2020-07-01,297632.801788753,125238.373589899,94492.4972508463,22,5,4,22,4,5,0,0,0,0,7,0,0,0,0,0,0,1,0,0,0,0,0,6547921.63935257,500953.494359595,472462.486254231
"12",2020-08-01,291544.766747369,124123.173813825,93082.6732751532,21,5,5,21,5,5,0,0,0,0,8,0,0,0,0,0,0,0,1,0,0,0,0,6122440.10169475,620615.869069124,465413.366375766
"13",2020-09-01,302018.317630881,125424.075208334,97909.0539668988,21,5,4,21,4,5,0,0,0,0,9,0,0,0,0,0,0,0,0,1,0,0,0,6342384.67024851,501696.300833335,489545.269834494
"14",2020-10-01,300082.123792884,129239.85429981,95268.2086282771,22,5,4,21,5,5,0,0,0,0,10,0,0,0,0,0,0,0,0,0,1,0,0,6301724.59965057,646199.271499048,476341.043141386
"15",2020-11-01,294057.964985669,123838.40517201,91546.4894265027,19,6,5,18,4,8,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,1,0,5293043.36974204,495353.620688041,732371.915412022
"16",2020-12-01,284297.833080892,124077.741800812,93730.7621666343,22,5,4,22,4,5,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,1,6254552.32777963,496310.967203246,468653.810833171
"17",2021-01-01,282891.892433309,109530.799299705,77700.1361787579,19,7,5,19,5,7,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,5374945.95623288,547653.996498523,543900.953251305
"18",2021-02-01,288067.56585472,116466.058417802,83180.3845133533,19,5,4,19,4,5,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,5473283.75123967,465864.233671207,415901.922566767
"19",2021-03-01,290717.413439227,130245.144723705,86054.880729432,23,4,4,23,4,4,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,6686500.50910222,520980.578894819,344219.522917728
"20",2021-04-01,296189.267795114,132490.161445689,92243.2479872926,22,4,4,22,4,4,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,6516163.89149251,529960.645782755,368972.991949171
"21",2021-05-01,299012.385641106,124591.371903307,96909.1581078024,20,6,5,20,5,6,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,5980247.71282212,622956.859516536,581454.948646814
"22",2021-06-01,302398.949599693,131824.014892752,102474.77843198,22,4,4,22,4,4,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,6652776.89119324,527296.059571008,409899.113727921
"23",2021-07-01,298448.28020039,128111.699833316,96176.0838508181,21,6,4,21,5,5,0,0,0,0,7,0,0,0,0,0,0,1,0,0,0,0,0,6267413.88420819,640558.499166579,480880.419254091
"24",2021-08-01,292474.330328108,127000.030124512,94772.1254656799,22,4,5,22,4,5,0,0,0,0,8,0,0,0,0,0,0,0,1,0,0,0,0,6434435.26721839,508000.120498047,473860.6273284
"25",2021-09-01,302926.427865268,128311.626732521,99602.6793855553,21,5,4,21,4,5,0,0,0,0,9,0,0,0,0,0,0,0,0,1,0,0,0,6361454.98517062,513246.506930083,498013.396927777
